#
# this is a list of the lowest and strongest He-like transitions
# of the first 30 elements
# the entry El n  0 is the two-photon continuum
#
#>>chng 06 jul 21 add third n=2 line as per Ryan's LOC run
#>>chng 06 aug 17, further lines added for Ryan's loc run
#>>chng 06 aug 18, use mean wl of 2S - 2P multiplet
#
# helium lines are
# 2s 1S  - ground - two-photon
# 2p 3P  - ground
# 2s 3S  - ground
# 2p 1P  - ground
# 2p 3P  - 2s 3S - entire multiplet with mean wl
# 2p 1P  - 2s 1S
#
He 1	    0 
TOTL	591.412A
He 1	625.563A
He 1	584.334A
TOTL	1.08299m
#>>chng 06 may 20 from 2.060mm to 2.058mm RP change helike
He 1	2.05813m
#
# the following are
# 2s 1S  - ground - two-photon
# 2p 3P  - ground
# 2p 3P2 - ground
# 2s 3S  - ground
# 2p 1P  - ground
# 2p 3P  - 2s 3S
# 2p 3P0 - 2s 3S
# 2p 3P1 - 2s 3S
# 2p 3P2 - 2s 3S
# 2p 1P  - 2s 1S
#
Li 2	    0 
TOTL	202.322A
Li 2	202.321A
Li 2	210.069A
Li 2	199.279A
TOTL	5484.32A
Li 2	5483.46A
Li 2	5485.09A
Li 2	5484.32A
Li 2	9581.43A
#
Be 3	    0 
TOTL	101.693A
Be 3	101.693A
Be 3	104.548A
Be 3	100.255A
TOTL	3721.72A
Be 3	3720.84A
Be 3	3722.92A
Be 3	3720.84A
Be 3	6142.32A
#
B  4	    0 
TOTL	61.0903A
B  4	61.0903A
B  4	62.4397A
B  4	60.3144A
TOTL	2824.03A
B  4	2824.59A
B  4	2825.86A
B  4	2821.64A
B  4	4491.10A
#
C  5	    0 
TOTL	40.7307A
C  5	40.7307A
C  5	41.4721A
C  5	40.2678A
TOTL	2275.25A
C  5	2277.16A
C  5	2277.81A
C  5	2270.79A
C  5	3526.70A
#
N  6	    0 
TOTL	29.0840A
N  6	29.0815A
N  6	29.5343A
N  6	28.7870A
TOTL	1903.86A
N  6	1907.58A
N  6	1907.26A
N  6	1896.74A
N  6	2896.36A
#
O  7	    0A
TOTL	21.8070A
O  7	21.8044A
O  7	22.1012A
O  7    21.6020A
TOTL	1633.92A
O  7	1639.86A
O  7	1638.28A
O  7	1623.61A
O  7	2448.98A
#
F  8	    0 
TOTL	16.9470A
F  8	16.9443A
F  8	17.1525A
F  8	16.8070A
TOTL	1408.98A
F  8	1417.23A
F  8	1414.23A
F  8	1395.48A
F  8	2136.08A
#
Ne 9	    0 
TOTL	13.5529A
