# for information on the format of this file, see readme_LineList_dat.txt
# >>chng 12 mar 13, add P beta
# >>chng 06 may 14, add H beta
# >>chng 06 may 09, add strong optical lines from H+ region
# >>chng 06 feb 21, add broadband dust continua
# >>chng 03 oct 28, update wavelengths for some lines
# for information on the format of this file, see readme_LineList_dat.txt
#
# this file should be kept parallel with the version that does not
# include H2
#
# Begin CLOUDY grid output line list...
#
# hydrogen lines
H  1   6562.85A    Balmer alpha    3-2
H  1   4861.36A    Balmer beta     4-2
H  1   1.87511m   Paschen alpha   4-3
H  1   1.28181m   Paschen beta    5-3
H  1   4.05116m   Br alpha        5-4
#H  1   2.166m   Br gamma
#H  1   1.945m   Br delta
H  1   7.45781m   Pfund alpha     6-5
#H  1   12.37m   Humphries alpha 7-6
#H  1   19.06m   8-7
# 
# strong optical lines from H+ region
o  3     5007
totl     3727
n  2     6584
s  2     6720
totl     4861.36
o  1     6300
N  1     5200
totl     10829.9 all three lines within multiplet
#
# the strong pdr lines
#
# carbon monoxide
CO   866.721m
CO   650.075m
CO   325.137m
#
# carbon
c  1 609.2m
c  1 369.7m
C  2 157.6m
#
# oxygen
o  1 63.17m 
o  1 145.530m
# 
# neon
Ne 2 12.81m
Ne 3 15.55m
Ne 3 36.0140m
#
# total grain heating, all source, equal to total grain cooling
grat 0 
#
# series of IR bands, mainly dust emission in PDR
FIR  83.00m
TIR   1800m
NIRa 2.850m
NIRb 3.000m
MIRa 15.00m
MIRb 22.50m
NMIR 21.75m
TFIR 611.25m
#
# Silicon
Si 2 34.8140m
#
# Sulphur
S  3 18.67m
S  3 33.47m
S  4 10.51m
#
# an FeII line
Fe 2 1.64355m
#
# the H2 lines
# examine func_lines.lin and .lab in the test suite auto dir
# to see a current list of H2 lines - search on "H2  " in these files
H2   17.03m  0-0 S(1)
H2   12.2752m  0-0 S(2)
H2   9.66228m  0-0 S(3)
H2   8.02362m  0-0 S(4)
H2   6.90725m  0-0 S(5)
H2   5.80953m  1-1 S(7)
H2   5.50996m  0-0 S(7)
H2   2.80176m  1-0 O(3)
H2   2.73042m  3-2 Q(3)
H2   2.71922m  2-1 Q(9)
H2   2.71785m  3-2 Q(2)
H2   2.70951m  3-2 Q(1)
H2   2.62608m  1-0 O(2)
H2   2.55785m  2-1 Q(2)
H2   2.55029m  2-1 Q(1)
H2   2.40594m  1-0 Q(1)
H2   1.74760m  1-0 S(7)
H2   1.62938m  11-8 S(7)
H2   1.63092m  1-0 S(15)
H2   1.63619m  1-0 S(16)
H2   1.63877m  1-0 S(12)
H2   1.64487m  3-1 O(7)
H2   1.64998m  1-0 S(11)
H2   1.65803m  7-5 S(0)
H2   1.66604m  1-0 S(10)
H2   1.67457m  1-0 S(19)
H2   1.68726m  1-0 S(9)
H2   1.69490m  1-0 S(20)
H2   1.71419m  1-0 S(8)
H2   1.71901m  1-0 S(21)
H2   1.74720m  1-0 S(22)
H2   1.74760m  1-0 S(7)
H2   1.77967m  1-0 S(23)
H2   1.78746m  1-0 S(6)
H2   1.83529m  1-0 S(5)
H2   1.89145m  1-0 S(4)
H2   1.95702m  1-0 S(3)
H2   2.03320m  1-0 S(2)
H2   2.12099m  1-0 S(1)
H2   2.22269m  1-0 S(0)
H2   2.41307m  1-0 Q(2)
H2   2.42307m  1-0 Q(3)
H2   2.43683m  1-0 Q(4)
H2   2.45408m  1-0 Q(5)
H2   2.47510m  1-0 Q(6)
H2   2.49929m  1-0 Q(7)
H2   2.52709m  1-0 Q(8)
H2   2.55983m  8-6 Q(15)
H2   2.59469m  1-0 Q(10)
H2   2.63426m  1-0 Q(11)
H2   2.67820m  1-0 Q(12)
H2   2.72610m  1-0 Q(13)
H2   2.77819m  1-0 Q(14)
H2   2.83537m  1-0 Q(15)
H2   2.89689m  4-3 Q(2)
H2   2.96462m  1-0 Q(17)
H2   3.11688m  1-0 Q(19)
H2   3.36534m  0-0 S(22)
H2   3.36794m  0-0 S(21)
H2   3.37087m  0-0 S(23)
H2   3.38104m  6-5 Q(4)
H2   3.38671m  0-0 S(24)
H2   3.40299m  0-0 S(19)
H2   3.40989m  0-0 S(25)
H2   3.43697m  0-0 S(18)
H2   3.48530m  0-0 S(17)
H2   3.54606m  0-0 S(16)
H2   3.62531m  0-0 S(15)
H2   3.72257m  0-0 S(14)
H2   3.84534m  0-0 S(13)
H2   3.99573m  0-0 S(12)
H2   4.17983m  0-0 S(11)
H2   4.40836m  0-0 S(10)
H2   5.05148m  0-0 S(8)
H2   6.10718m  0-0 S(6)


