2002 10 22 date incorporated - used by code to verify proper file is used
#
# This data, together with the fits generated by Nick Abel,
# constitute the UTA inner shell treatment in the code.
# This data file is based on files provided by Ehud Behar,
# and was originally published in
# >>refer	Fe	inner shell	Behar, E., Sako, M, Kahn, S.M., 
# >>refercon	2001, ApJ, 563, 497-504
# the fits were based on the paper
# >>refer	Fe	inner shell	Behar, E., & Netzer, H., 2002, ApJ, 570, 165-170
#
# all lines starting with # are comments and are ignored
# data are tab delimited
# these are all Fe lines - ion is stage of ionization, 0 is atom
#
# for atomic iron the statistical weights are given, since they were included
# in the original data file from Ehud.  These are zero in all other stages of
# ionization since they were not provided
#
# the last number is the absorption oscillator strength
#
#ion	g(u)	g(l)	wl	A	A/(A+A^a)	f
0	7	9	17.5161	3.1830E+12	7.5620E-03	1.1390E-01
0	9	9	17.5374	1.1410E+12	3.9130E-03	5.2600E-02
0	9	9	17.5302	1.1060E+12	3.7920E-03	5.0960E-02
0	11	9	17.5555	8.5290E+11	2.6150E-03	4.8170E-02
0	9	9	17.2098	7.4300E+11	5.6670E-61	3.3000E-02
0	9	9	17.1987	5.5600E+11	7.9120E-94	2.4660E-02
0	9	9	17.4770	4.9030E+11	1.1540E-03	2.2460E-02
0	11	9	17.5887	3.8270E+11	1.5260E-03	2.1690E-02
0	9	9	17.5735	4.4840E+11	1.5900E-03	2.0770E-02
0	9	9	17.4275	4.5520E+11	8.7610E-56	2.0720E-02
0	9	9	17.5451	4.1110E+11	1.2480E-03	1.8980E-02
0	11	9	17.2282	2.5490E+11	1.0320E-113	1.3870E-02
0	7	9	17.2196	3.1900E+11	4.0710E-60	1.1030E-02
0	7	9	17.5357	2.9410E+11	8.0030E-04	1.0550E-02
0	11	9	17.4743	1.7950E+11	4.1070E-04	1.0050E-02
0	9	9	17.2434	2.1800E+11	1.7380E-67	9.7170E-03
0	7	9	17.5564	2.2870E+11	7.6490E-04	8.2220E-03
0	11	9	17.4941	1.2960E+11	3.7110E-04	7.2710E-03
0	7	9	17.5251	1.7270E+11	5.0150E-04	6.1840E-03
0	7	9	17.4783	1.6910E+11	4.3270E-04	6.0240E-03
0	7	9	17.4627	1.4960E+11	3.9240E-04	5.3200E-03
0	11	9	17.5135	6.6120E+10	2.1160E-04	3.7170E-03
0	7	9	17.2524	9.9400E+10	3.7840E-74	3.4500E-03
0	9	9	17.1519	5.7290E+10	1.5220E-54	2.5270E-03
0	11	9	17.1988	4.6220E+10	6.6950E-94	2.5060E-03
0	11	9	17.1638	4.1560E+10	9.3400E-65	2.2430E-03
0	9	9	17.4973	4.7130E+10	1.2690E-04	2.1630E-03
0	11	9	17.4726	3.2550E+10	9.0020E-05	1.8210E-03
0	9	9	17.4571	3.8290E+10	8.2610E-05	1.7500E-03
0	9	9	17.1650	3.7180E+10	4.9330E-69	1.6420E-03
0	7	9	17.4457	4.2830E+10	3.3830E-47	1.5200E-03
0	7	9	17.4549	3.7500E+10	7.5890E-05	1.3320E-03
0	7	9	17.1430	3.8760E+10	1.0420E-65	1.3290E-03
0	7	9	17.1715	3.5310E+10	1.3380E-114	1.2140E-03
0	7	9	17.4541	3.1830E+10	6.4220E-05	1.1310E-03
0	7	9	17.3699	2.9330E+10	9.2640E-115	1.0320E-03
0	7	9	17.4903	2.0040E+10	5.1030E-05	7.1520E-04
0	7	9	17.4049	1.2550E+10	1.7020E-96	4.4330E-04
0	11	9	17.4287	6.6810E+09	4.9160E-55	3.7190E-04
0	7	9	17.1234	1.0780E+10	1.1350E-64	3.6870E-04
0	9	9	17.1068	7.7540E+09	5.6350E-146	3.4020E-04
0	9	9	17.4508	6.6580E+09	1.9460E-52	3.0400E-04
0	7	9	17.4437	6.4430E+09	1.0660E-68	2.2860E-04
0	11	9	17.4597	3.9250E+09	8.2740E-06	2.1920E-04
0	7	9	17.4224	5.6010E+09	3.9280E-70	1.9820E-04
0	9	9	17.3870	4.2090E+09	3.0590E-66	1.9080E-04
0	11	9	17.1272	3.5000E+09	5.5000E-66	1.8810E-04
0	9	9	17.4085	4.0880E+09	2.6730E-67	1.8580E-04
0	7	9	17.0775	5.1010E+09	7.3760E-146	1.7340E-04
0	9	9	17.4347	3.7440E+09	1.7570E-66	1.7070E-04
0	9	9	17.1057	3.7110E+09	1.6150E-67	1.6280E-04
0	9	9	17.3551	3.2680E+09	4.0320E-63	1.4760E-04
0	7	9	17.4031	4.1170E+09	1.0380E-119	1.4540E-04
0	9	9	17.4662	2.5720E+09	5.8610E-06	1.1770E-04
0	11	9	17.4066	1.6320E+09	5.9730E-68	9.0590E-05
0	7	9	17.1336	2.4360E+09	9.5110E-70	8.3360E-05
0	7	9	17.4278	1.8340E+09	1.7980E-66	6.4960E-05
0	11	9	17.4206	1.1580E+09	5.5780E-68	6.4390E-05
0	9	9	17.4597	1.1460E+09	2.3790E-06	5.2340E-05
0	7	9	17.3250	1.4300E+09	2.8390E-94	5.0080E-05
0	7	9	17.4099	1.3370E+09	8.5730E-71	4.7240E-05
0	7	9	17.3546	1.0250E+09	7.1060E-116	3.5990E-05
0	7	9	17.5658	9.6270E+08	3.0720E-06	3.4630E-05
0	7	9	17.3248	8.7930E+08	9.2710E-69	3.0780E-05
0	7	9	17.3551	8.5400E+08	3.4440E-80	2.9990E-05
0	7	9	17.3925	5.8390E+08	9.4780E-69	2.0590E-05
0	9	9	17.1165	4.6200E+08	9.1370E-69	2.0300E-05
