3 2 11 // magic number - today's date
#
# this file gives the vibration and rotation dissociation probability
# and kinetic energy (eV) of the B electronic state of deuterated hydrogen
#
# data are from
#>>refer	HD	As	Abgrall, H., \& Roueff, E. 2006, A&AS, 445, 361
#
# Mean kinetic energies are, when available, from
#>>refer	HD	As	Stephens, T.L. \& Dalgarno, A. 1973, ApJ, 186, 165
# Remaining mean kinetic energies are taken from the mean results
# of the H2 electronic state
#
#vib	J	Diss prob	Kin Ener (eV)
0	0	4.25E-001	0.33
1	0	3.19E+001	0.05
2	0	5.88E+002	0.13
3	0	4.27E+004	0.05
4	0	1.70E+005	0.11
5	0	3.46E+006	0.08
6	0	2.03E+007	0.06
7	0	4.55E+007	0.14
8	0	2.54E+008	0.08
9	0	2.98E+008	0.16
10	0	4.68E+008	0.18
11	0	4.41E+008	0.27
12	0	4.23E+008	0.36
13	0	5.18E+008	0.44
14	0	4.92E+008	0.49
15	0	4.90E+008	0.55
16	0	4.88E+008	0.61
17	0	4.78E+008	0.64
18	0	4.88E+008	0.68
19	0	4.86E+008	0.74
20	0	4.74E+008	0.79
21	0	4.62E+008	0.83
22	0	4.54E+008	0.87
23	0	4.46E+008	0.89
24	0	4.50E+008	0.92
25	0	4.43E+008	0.92
26	0	4.48E+008	0.95
27	0	4.40E+008	0.97
28	0	4.39E+008	0.99
29	0	4.32E+008	1.01
30	0	4.28E+008	1.00
31	0	4.28E+008	0.98
32	0	4.26E+008	0.93
33	0	4.34E+008	0.90
34	0	4.37E+008	0.83
35	0	4.55E+008	0.78
36	0	4.65E+008	0.68
37	0	4.97E+008	0.58
38	0	5.26E+008	0.45
39	0	5.90E+008	0.28
40	0	6.87E+008	0.10
41	0	8.81E+008	0.45
42	0	1.03E+009	0.45
43	0	1.10E+009	0.45
0	1	4.32E-001	0.45
1	1	3.68E+001	0.45
2	1	5.76E+002	0.45
3	1	4.47E+004	0.45
4	1	2.01E+005	0.45
5	1	3.40E+006	0.45
6	1	2.20E+007	0.45
7	1	4.58E+007	0.45
8	1	2.56E+008	0.45
9	1	3.09E+008	0.45
10	1	4.62E+008	0.45
11	1	4.40E+008	0.45
12	1	4.22E+008	0.45
13	1	5.17E+008	0.45
14	1	4.91E+008	0.45
15	1	4.32E+008	0.45
16	1	4.93E+008	0.45
17	1	4.78E+008	0.45
18	1	4.94E+008	0.45
19	1	4.88E+008	0.45
20	1	4.78E+008	0.45
21	1	4.67E+008	0.45
22	1	4.56E+008	0.45
23	1	4.52E+008	0.45
24	1	4.39E+008	0.45
25	1	4.50E+008	0.45
26	1	4.46E+008	0.45
27	1	4.45E+008	0.45
28	1	4.42E+008	0.45
29	1	4.37E+008	0.45
30	1	4.33E+008	0.45
31	1	4.32E+008	0.45
32	1	4.33E+008	0.45
33	1	4.40E+008	0.45
34	1	4.48E+008	0.45
35	1	4.63E+008	0.45
36	1	4.79E+008	0.45
37	1	5.10E+008	0.45
38	1	5.47E+008	0.45
39	1	6.15E+008	0.45
40	1	7.37E+008	0.45
41	1	9.38E+008	0.45
42	1	1.09E+009	0.45
43	1	1.09E+009	0.45
0	2	4.54E-001	0.45
1	2	4.54E+001	0.45
2	2	5.69E+002	0.45
3	2	4.76E+004	0.45
4	2	2.57E+005	0.45
5	2	3.26E+006	0.45
6	2	2.45E+007	0.45
7	2	4.67E+007	0.45
8	2	2.59E+008	0.45
9	2	3.25E+008	0.45
10	2	4.59E+008	0.45
11	2	4.39E+008	0.45
12	2	4.20E+008	0.45
13	2	5.11E+008	0.45
14	2	4.89E+008	0.45
15	2	4.67E+008	0.45
16	2	4.94E+008	0.45
17	2	4.76E+008	0.45
18	2	4.96E+008	0.45
19	2	4.86E+008	0.45
20	2	4.77E+008	0.45
21	2	4.67E+008	0.45
22	2	4.52E+008	0.45
23	2	4.53E+008	0.45
24	2	3.08E+008	0.45
25	2	4.51E+008	0.45
26	2	4.43E+008	0.45
27	2	4.45E+008	0.45
28	2	4.41E+008	0.45
29	2	4.35E+008	0.45
30	2	4.32E+008	0.45
31	2	4.31E+008	0.45
32	2	4.33E+008	0.45
33	2	4.40E+008	0.45
34	2	4.48E+008	0.45
35	2	4.61E+008	0.45
36	2	4.79E+008	0.45
37	2	5.11E+008	0.45
38	2	5.44E+008	0.45
39	2	6.11E+008	0.45
40	2	7.34E+008	0.45
41	2	9.31E+008	0.45
42	2	1.09E+009	0.45
43	2	1.13E+009	0.45
0	3	4.43E-001	0.45
1	3	6.05E+001	0.45
2	3	6.26E+002	0.45
3	3	5.09E+004	0.45
4	3	3.61E+005	0.45
5	3	3.05E+006	0.45
6	3	2.84E+007	0.45
7	3	5.04E+007	0.45
8	3	2.57E+008	0.45
9	3	3.53E+008	0.45
10	3	4.56E+008	0.45
11	3	4.36E+008	0.45
12	3	4.16E+008	0.45
13	3	4.48E+008	0.45
14	3	4.85E+008	0.45
15	3	4.74E+008	0.45
16	3	4.97E+008	0.45
17	3	4.76E+008	0.45
18	3	5.01E+008	0.45
19	3	4.86E+008	0.45
20	3	4.77E+008	0.45
21	3	4.70E+008	0.45
22	3	4.40E+008	0.45
23	3	4.59E+008	0.45
24	3	3.90E+008	0.45
25	3	4.56E+008	0.45
26	3	4.46E+008	0.45
27	3	4.48E+008	0.45
28	3	4.41E+008	0.45
29	3	4.37E+008	0.45
30	3	4.35E+008	0.45
31	3	4.32E+008	0.45
32	3	4.38E+008	0.45
33	3	4.43E+008	0.45
34	3	4.54E+008	0.45
35	3	4.62E+008	0.45
36	3	4.88E+008	0.45
37	3	5.23E+008	0.45
38	3	5.61E+008	0.45
39	3	6.39E+008	0.45
40	3	7.66E+008	0.45
41	3	9.91E+008	0.45
42	3	1.16E+009	0.45
43	3	1.01E+009	0.45
44	3	7.92E+008	0.45
0	4	4.32E-001	0.45
1	4	8.12E+001	0.45
2	4	8.99E+002	0.45
3	4	5.28E+004	0.45
4	4	5.30E+005	0.45
5	4	2.87E+006	0.45
6	4	3.20E+007	0.45
7	4	6.01E+007	0.45
8	4	2.49E+008	0.45
9	4	3.87E+008	0.45
10	4	4.55E+008	0.45
11	4	4.25E+008	0.45
12	4	4.21E+008	0.45
13	4	4.54E+008	0.45
14	4	4.80E+008	0.45
15	4	4.69E+008	0.45
16	4	4.95E+008	0.45
17	4	4.73E+008	0.45
18	4	4.98E+008	0.45
19	4	4.82E+008	0.45
20	4	4.66E+008	0.45
21	4	4.68E+008	0.45
22	4	3.12E+008	0.45
23	4	4.59E+008	0.45
24	4	4.33E+008	0.45
25	4	4.55E+008	0.45
26	4	4.46E+008	0.45
27	4	4.45E+008	0.45
28	4	4.40E+008	0.45
29	4	4.32E+008	0.45
30	4	4.33E+008	0.45
31	4	4.21E+008	0.45
32	4	4.38E+008	0.45
33	4	4.32E+008	0.45
34	4	4.57E+008	0.45
