3 2 11 // magic number - today's date
#
# this file gives the vibration and rotation dissociation probability
# and kinetic energy (eV) of the B' electronic state of deuterated hydrogen
#
# data are from
#>>refer	HD	As	Abgrall, H., \& Roueff, E. 2006, A&AS, 445, 361
#
# Mean kinetic energies are, when available, from
#>>refer	HD	As	Stephens, T.L. \& Dalgarno, A. 1973, ApJ, 186, 165
# Remaining mean kinetic energies are taken from the mean results
# of the H2 electronic state
#
#vib	J	Diss prob	Kin Ener (eV)
0	0	5.79E-001	0.32
1	0	5.28E-001	0.32
2	0	2.81E+000	0.32
3	0	5.89E+002	0.32
4	0	3.68E+001	0.32
5	0	8.54E+002	0.32
6	0	1.45E+005	0.32
7	0	1.26E+008	0.32
8	0	1.78E+008	0.32
9	0	3.33E+008	0.32
10	0	2.66E+008	0.32
0	1	1.51E+003	0.32
1	1	5.31E-001	0.32
2	1	1.75E+003	0.32
3	1	7.25E+001	0.32
4	1	4.51E+001	0.32
5	1	2.27E+003	0.32
6	1	1.83E+005	0.32
7	1	1.67E+008	0.32
8	1	2.72E+008	0.32
9	1	3.82E+008	0.32
10	1	2.99E+008	0.32
0	2	1.26E+003	0.32
1	2	3.37E+000	0.32
2	2	1.32E+003	0.32
3	2	1.59E+001	0.32
4	2	6.30E+001	0.32
5	2	1.11E+003	0.32
6	2	3.08E+005	0.32
7	2	1.76E+008	0.32
8	2	2.81E+008	0.32
9	2	3.80E+008	0.32
10	2	2.55E+008	0.32
0	3	1.33E-001	0.32
1	3	5.25E-001	0.32
2	3	1.66E+003	0.32
3	3	7.14E+000	0.32
4	3	6.24E+006	0.32
5	3	2.09E+003	0.32
6	3	6.12E+005	0.32
7	3	2.23E+008	0.32
8	3	3.62E+008	0.32
9	3	3.97E+008	0.32
10	3	6.15E+008	0.32
0	4	9.63E-003	0.32
1	4	9.86E+002	0.32
2	4	9.13E+001	0.32
3	4	5.23E+000	0.32
4	4	9.49E+001	0.32
5	4	2.86E+004	0.32
6	4	1.50E+006	0.32
7	4	2.25E+008	0.32
8	4	3.77E+008	0.32
9	4	3.92E+008	0.32
0	5	7.10E-003	0.32
1	5	8.60E+000	0.32
2	5	2.24E+001	0.32
3	5	1.11E+001	0.32
4	5	1.55E+002	0.32
5	5	1.96E+008	0.32
6	5	3.93E+007	0.32
7	5	3.06E+008	0.32
8	5	4.00E+008	0.32
9	5	5.77E+008	0.32
0	6	1.43E-002	0.32
1	6	7.36E-002	0.32
2	6	1.30E+000	0.32
3	6	4.35E+000	0.32
4	6	2.22E+002	0.32
5	6	1.15E+004	0.32
6	6	1.32E+008	0.32
7	6	3.09E+008	0.32
8	6	4.42E+008	0.32
0	7	8.50E+003	0.32
1	7	3.38E+000	0.32
2	7	6.29E+000	0.32
3	7	6.07E+000	0.32
4	7	1.01E+007	0.32
5	7	6.85E+003	0.32
6	7	4.83E+008	0.32
7	7	3.12E+008	0.32
8	7	3.88E+008	0.32
0	8	1.25E-001	0.32
1	8	1.00E+003	0.32
2	8	4.32E+000	0.32
3	8	1.72E+001	0.32
4	8	8.46E+002	0.32
5	8	4.11E+004	0.32
6	8	4.07E+008	0.32
7	8	6.29E+008	0.32
0	9	2.46E-001	0.32
1	9	5.22E+001	0.32
2	9	1.70E+001	0.32
3	9	6.34E+001	0.32
4	9	5.97E+003	0.32
5	9	8.59E+005	0.32
6	9	1.83E+008	0.32
7	9	2.58E+008	0.32
0	10	3.38E+001	0.32
1	10	1.19E+004	0.32
2	10	7.64E+000	0.32
3	10	7.58E+001	0.32
4	10	1.39E+007	0.32
5	10	1.58E+007	0.32
6	10	4.14E+008	0.32

