3 2 11 // magic number - today's date
#
# this file gives the vibration and rotation dissociation probability
# and kinetic energy (eV) of the C- electronic state of deuterated hydrogen
#
# data are from
#>>refer	HD	As	Abgrall, H., \& Roueff, E. 2006, A&AS, 445, 361
#
# Mean kinetic energies are, when available, from
#>>refer	HD	As	Stephens, T.L. \& Dalgarno, A. 1973, ApJ, 186, 165
# Remaining mean kinetic energies are taken from the mean results
# of the H2 electronic state
#
#vib	J	Diss prob	Kin Ener (eV)
0	1	7.61E-004	0.22
1	1	4.57E-004	0.22
2	1	1.84E-002	0.22
3	1	4.07E-001	0.22
4	1	3.25E+001	0.22
5	1	9.44E+002	0.22
6	1	1.09E+004	0.22
7	1	3.13E+005	0.22
8	1	9.67E+005	0.22
9	1	2.08E+007	0.22
10	1	3.17E+007	0.22
11	1	2.84E+008	0.22
12	1	3.18E+008	0.22
13	1	6.67E+008	0.22
14	1	7.57E+008	0.22
15	1	8.47E+008	0.22
0	2	7.56E-004	0.22
1	2	4.61E-004	0.22
2	2	2.21E-002	0.22
3	2	3.84E-001	0.22
4	2	4.20E+001	0.22
5	2	9.49E+002	0.22
6	2	1.46E+004	0.22
7	2	3.25E+005	0.22
8	2	1.26E+006	0.22
9	2	2.18E+007	0.22
10	2	3.70E+007	0.22
11	2	2.94E+008	0.22
12	2	3.48E+008	0.22
13	2	6.55E+008	0.22
14	2	7.85E+008	0.22
15	2	1.06E+009	0.22
0	3	7.41E-004	0.22
1	3	4.65E-004	0.22
2	3	2.73E-002	0.22
3	3	3.42E-001	0.22
4	3	5.53E+001	0.22
5	3	9.14E+002	0.22
6	3	2.00E+004	0.22
7	3	3.26E+005	0.22
8	3	1.69E+006	0.22
9	3	2.22E+007	0.22
10	3	4.45E+007	0.22
11	3	2.95E+008	0.22
12	3	3.75E+008	0.22
13	3	6.33E+008	0.22
14	3	7.59E+008	0.22
15	3	1.06E+009	0.22
0	4	7.13E-004	0.22
1	4	4.77E-004	0.22
2	4	3.51E-002	0.22
3	4	2.96E-001	0.22
4	4	7.74E+001	0.22
5	4	8.34E+002	0.22
6	4	2.93E+004	0.22
7	4	3.15E+005	0.22
8	4	2.47E+006	0.22
9	4	2.20E+007	0.22
10	4	5.86E+007	0.22
11	4	2.91E+008	0.22
12	4	4.22E+008	0.22
13	4	6.08E+008	0.22
14	4	7.18E+008	0.22
0	5	6.76E-004	0.22
1	5	5.14E-004	0.22
2	5	4.63E-002	0.22
3	5	3.08E-001	0.22
4	5	1.13E+002	0.22
5	5	7.07E+002	0.22
6	5	4.50E+004	0.22
7	5	2.87E+005	0.22
8	5	3.85E+006	0.22
9	5	2.07E+007	0.22
10	5	8.42E+007	0.22
11	5	2.77E+008	0.22
12	5	4.98E+008	0.22
13	5	5.92E+008	0.22
14	5	6.61E+008	0.22
0	6	6.53E-004	0.22
1	6	7.28E-004	0.22
2	6	7.00E-002	0.22
3	6	9.73E-001	0.22
4	6	2.03E+002	0.22
5	6	7.45E+002	0.22
6	6	8.90E+004	0.22
7	6	2.44E+005	0.22
8	6	8.20E+006	0.22
9	6	1.83E+007	0.22
10	6	1.72E+008	0.22
11	6	2.56E+008	0.22
12	6	7.39E+008	0.22
13	6	8.02E+008	0.22
14	6	9.26E+008	0.22
0	7	6.79E-004	0.22
1	7	1.15E-003	0.22
2	7	7.68E-002	0.22
3	7	2.60E+000	0.22
4	7	2.55E+002	0.22
5	7	1.40E+003	0.22
6	7	1.17E+005	0.22
7	7	2.63E+005	0.22
8	7	1.07E+007	0.22
9	7	1.71E+007	0.22
10	7	2.09E+008	0.22
11	7	2.51E+008	0.22
12	7	7.32E+008	0.22
13	7	8.32E+008	0.22
14	7	1.01E+009	0.22
0	8	7.64E-004	0.22
1	8	2.00E-003	0.22
2	8	7.21E-002	0.22
3	8	6.42E+000	0.22
4	8	2.79E+002	0.22
5	8	3.50E+003	0.22
6	8	1.36E+005	0.22
7	8	4.70E+005	0.22
8	8	1.24E+007	0.22
9	8	2.14E+007	0.22
10	8	2.29E+008	0.22
11	8	2.81E+008	0.22
12	8	6.78E+008	0.22
13	8	7.95E+008	0.22
14	8	1.02E+009	0.22
0	9	8.84E-004	0.22
1	9	3.64E-003	0.22
2	9	5.45E-002	0.22
3	9	1.49E+001	0.22
4	9	2.63E+002	0.22
5	9	9.07E+003	0.22
6	9	1.42E+005	0.22
7	9	1.15E+006	0.22
8	9	1.31E+007	0.22
9	9	3.90E+007	0.22
10	9	2.32E+008	0.22
11	9	3.75E+008	0.22
12	9	6.19E+008	0.22
13	9	7.30E+008	0.22
0	10	9.78E-004	0.22
1	10	8.22E-003	0.22
2	10	1.04E-001	0.22
3	10	4.44E+001	0.22
4	10	2.10E+002	0.22
5	10	3.11E+004	0.22
6	10	1.17E+005	0.22
7	10	4.26E+006	0.22
8	10	1.17E+007	0.22
9	10	1.29E+008	0.22
10	10	2.06E+008	0.22
11	10	7.70E+008	0.22
12	10	8.47E+008	0.22
13	10	9.62E+008	0.22

