3 2 11 // magic number - today's date
#
# this file gives the vibration and rotation dissociation probability
# and kinetic energy (eV) of the C+ electronic state of deuterated hydrogen
#
# data are from
#>>refer	HD	As	Abgrall, H., \& Roueff, E. 2006, A&AS, 445, 361
#
# Mean kinetic energies are, when available, from
#>>refer	HD	As	Stephens, T.L. \& Dalgarno, A. 1973, ApJ, 186, 165
# Remaining mean kinetic energies are taken from the mean results
# of the H2 electronic state
#
#vib	J	Diss prob	Kin Ener (eV)
0	1	5.12E+004	0.41
1	1	2.17E+005	0.41
2	1	1.25E+006	0.41
3	1	5.93E+007	0.41
4	1	1.35E+006	0.41
5	1	7.88E+005	0.41
6	1	1.34E+006	0.41
7	1	1.44E+007	0.41
8	1	7.26E+006	0.41
9	1	2.19E+007	0.41
10	1	3.35E+007	0.41
11	1	2.81E+008	0.41
12	1	3.20E+008	0.41
13	1	6.64E+008	0.41
14	1	7.52E+008	0.41
15	1	8.46E+008	0.41
0	2	1.50E+005	0.41
1	2	7.38E+005	0.41
2	2	6.81E+006	0.41
3	2	2.08E+007	0.41
4	2	2.86E+006	0.41
5	2	2.29E+006	0.41
6	2	5.28E+006	0.41
7	2	1.46E+008	0.41
8	2	1.04E+007	0.41
9	2	2.45E+007	0.41
10	2	4.07E+007	0.41
11	2	2.86E+008	0.41
12	2	3.46E+008	0.41
13	2	6.47E+008	0.41
14	2	7.55E+008	0.41
15	2	9.46E+008	0.41
0	3	3.22E+005	0.41
1	3	2.08E+006	0.41
2	3	6.69E+007	0.41
3	3	1.11E+007	0.41
4	3	4.14E+006	0.41
5	3	4.99E+006	0.41
6	3	2.08E+007	0.41
7	3	6.67E+007	0.41
8	3	1.16E+007	0.41
9	3	2.80E+007	0.41
10	3	5.40E+007	0.41
11	3	2.93E+008	0.41
12	3	3.91E+008	0.41
13	3	6.32E+008	0.41
14	3	7.48E+008	0.41
0	4	6.97E+005	0.41
1	4	8.51E+006	0.41
2	4	5.45E+007	0.41
3	4	7.63E+006	0.41
4	4	5.82E+006	0.41
5	4	1.22E+007	0.41
6	4	1.47E+008	0.41
7	4	2.40E+007	0.41
8	4	1.31E+007	0.41
9	4	3.24E+007	0.41
10	4	7.98E+007	0.41
11	4	3.00E+008	0.41
12	4	4.51E+008	0.41
13	4	5.88E+008	0.41
14	4	6.88E+008	0.41
0	5	2.25E+006	0.41
1	5	1.97E+008	0.41
2	5	1.22E+007	0.41
3	5	7.05E+006	0.41
4	5	1.04E+007	0.41
5	5	5.48E+007	0.41
6	5	5.87E+007	0.41
7	5	1.56E+007	0.41
8	5	1.96E+007	0.41
9	5	4.84E+007	0.41
10	5	1.77E+008	0.41
11	5	3.50E+008	0.41
12	5	5.27E+008	0.41
13	5	4.74E+008	0.41
14	5	7.95E+008	0.41
0	6	3.64E+007	0.41
1	6	1.24E+007	0.41
2	6	6.84E+006	0.41
3	6	9.41E+006	0.41
4	6	3.42E+007	0.41
5	6	1.24E+008	0.41
6	6	2.16E+007	0.41
7	6	1.66E+007	0.41
8	6	3.90E+007	0.41
9	6	1.58E+008	0.41
10	6	2.05E+008	0.41
11	6	3.03E+008	0.41
12	6	5.70E+008	0.41
13	6	6.89E+008	0.41
14	6	7.70E+008	0.41
0	7	8.30E+006	0.41
1	7	4.81E+006	0.41
2	7	7.18E+006	0.41
3	7	2.54E+007	0.41
4	7	1.92E+008	0.41
5	7	2.71E+007	0.41
6	7	1.83E+007	0.41
7	7	3.45E+007	0.41
8	7	1.81E+008	0.41
9	7	8.61E+007	0.41
10	7	2.10E+008	0.41
11	7	3.11E+008	0.41
12	7	6.83E+008	0.41
13	7	7.89E+008	0.41
14	7	6.86E+008	0.41
0	8	2.12E+006	0.41
1	8	4.60E+006	0.41
2	8	1.84E+007	0.41
3	8	2.12E+008	0.41
4	8	2.78E+007	0.41
5	8	1.89E+007	0.41
6	8	3.73E+007	0.41
7	8	2.07E+008	0.41
8	8	6.41E+007	0.41
9	8	5.76E+007	0.41
10	8	2.24E+008	0.41
11	8	3.57E+008	0.41
12	8	6.55E+008	0.41
13	8	7.55E+008	0.41
14	8	8.30E+008	0.41
0	9	1.87E+006	0.41
1	9	1.41E+007	0.41
2	9	1.81E+008	0.41
3	9	2.31E+007	0.41
4	9	1.76E+007	0.41
5	9	4.03E+007	0.41
6	9	2.17E+008	0.41
7	9	4.90E+007	0.41
8	9	3.98E+007	0.41
9	9	9.73E+007	0.41
10	9	2.60E+008	0.41
11	9	5.06E+008	0.41
12	9	6.56E+008	0.41
13	9	8.03E+008	0.41
0	10	6.74E+006	0.41
1	10	8.81E+007	0.41
2	10	1.50E+007	0.41
3	10	1.49E+007	0.41
4	10	4.44E+007	0.41
5	10	1.59E+008	0.41
6	10	3.65E+007	0.41
7	10	3.42E+007	0.41
8	10	7.08E+007	0.41
9	10	2.26E+008	0.41
10	10	2.95E+008	0.41
11	10	4.96E+008	0.41
12	10	6.97E+008	0.41
13	10	8.13E+008	0.41

