3 2 11 // magic number - today's date
#
# this file gives the vibration and rotation dissociation probability
# and kinetic energy (eV) of the D- electronic state of deuterated hydrogen
#
# data are from
#>>refer	HD	As	Abgrall, H., \& Roueff, E. 2006, A&AS, 445, 361
#
# Mean kinetic energies are, when available, from
#>>refer	HD	As	Stephens, T.L. \& Dalgarno, A. 1973, ApJ, 186, 165
# Remaining mean kinetic energies are taken from the mean results
# of the H2 electronic state
#
#vib	J	Diss prob	Kin Ener (eV)
0	1	3.25E-003	0.30
1	1	5.65E+000	0.30
2	1	1.95E+005	0.30
3	1	5.35E+002	0.30
4	1	7.86E+000	0.30
5	1	1.50E+003	0.30
6	1	4.49E+003	0.30
7	1	3.17E+005	0.30
8	1	6.75E+005	0.30
9	1	1.53E+007	0.30
10	1	2.37E+007	0.30
11	1	1.61E+008	0.30
12	1	1.82E+008	0.30
13	1	2.89E+008	0.30
14	1	3.05E+008	0.30
15	1	3.87E+008	0.30
16	1	3.94E+008	0.30
17	1	3.87E+008	0.30
18	1	3.61E+008	0.30
19	1	2.62E+008	0.30
20	1	1.28E+008	0.30
0	2	3.20E-003	0.30
1	2	3.62E+000	0.30
2	2	1.24E+002	0.30
3	2	3.21E+002	0.30
4	2	1.10E+001	0.30
5	2	1.67E+003	0.30
6	2	5.22E+003	0.30
7	2	3.54E+005	0.30
8	2	7.07E+005	0.30
9	2	1.69E+007	0.30
10	2	2.46E+007	0.30
11	2	1.69E+008	0.30
12	2	1.91E+008	0.30
13	2	2.85E+008	0.30
14	2	3.02E+008	0.30
15	2	4.06E+008	0.30
16	2	4.27E+008	0.30
17	2	4.44E+008	0.30
18	2	4.28E+008	0.30
19	2	3.15E+008	0.30
20	2	1.44E+008	0.30
0	3	3.15E-003	0.30
1	3	1.26E+000	0.30
2	3	2.18E+001	0.30
3	3	1.81E+000	0.30
4	3	1.71E+001	0.30
5	3	1.85E+003	0.30
6	3	6.76E+003	0.30
7	3	3.90E+005	0.30
8	3	8.01E+005	0.30
9	3	1.82E+007	0.30
10	3	2.65E+007	0.30
11	3	1.73E+008	0.30
12	3	2.01E+008	0.30
13	3	2.80E+008	0.30
14	3	2.94E+008	0.30
15	3	3.99E+008	0.30
16	3	4.24E+008	0.30
17	3	4.43E+008	0.30
18	3	4.25E+008	0.30
19	3	2.97E+008	0.30
20	3	1.37E+008	0.30
0	4	3.50E-003	0.30
1	4	5.78E-001	0.30
2	4	8.08E+000	0.30
3	4	1.95E+000	0.30
4	4	3.08E+001	0.30
5	4	2.04E+003	0.30
6	4	1.07E+004	0.30
7	4	4.32E+005	0.30
8	4	1.07E+006	0.30
9	4	1.95E+007	0.30
10	4	3.16E+007	0.30
11	4	1.75E+008	0.30
12	4	2.18E+008	0.30
13	4	2.75E+008	0.30
14	4	2.84E+008	0.30
