2 4 29 // magic number - today's date
#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu  2011-03-20T22:24:22
#Title: Transition probabilities in the HD molecule (Abgrall+, 2006)
#
#n1	v1	J1	n0	v0	J0	A	Etr	o-c
1	0	0	0	0	1	4.177E+006	90310.94	          
1	0	0	0	1	1	3.315E+007	86682.63	          
1	0	0	0	2	1	1.204E+008	83231.90	-0.6
1	0	0	0	3	1	2.664E+008	79954.74	-0.52
1	0	0	0	4	1	4.004E+008	76849.19	-0.41
1	0	0	0	5	1	4.294E+008	73913.69	-0.57
1	0	0	0	6	1	3.351E+008	71148.16	-0.4
1	0	0	0	7	1	1.892E+008	68553.73	-0.49
1	0	0	0	8	1	7.493E+007	66133.20	-0.52
1	0	0	0	9	1	1.936E+007	63891.15	-0.5
1	0	0	0	10	1	2.791E+006	61834.41	          
1	0	0	0	11	1	1.474E+005	59972.24	          
1	0	0	0	12	1	5.129E+001	58317.75	          
1	0	0	0	13	1	2.530E+002	56887.57	          
1	0	0	0	14	1	8.887E+000	55705.56	          
1	0	0	0	15	1	2.405E-002	54800.80	          
1	0	0	0	16	1	1.745E-001	54214.02	          
1	0	0	0	17	1	1.130E-002	53994.07	          
1	0	1	0	0	0	1.352E+006	90429.52	          
1	0	1	0	0	2	2.786E+006	90162.40	          
1	0	1	0	1	0	1.080E+007	86797.36	          
1	0	1	0	1	2	2.211E+007	86541.82	          
1	0	1	0	2	0	3.949E+007	83342.65	-0.37
1	0	1	0	2	2	8.026E+007	83098.46	-0.69
1	0	1	0	3	0	8.804E+007	80061.79	-0.39
1	0	1	0	3	2	1.774E+008	79828.84	-0.47
1	0	1	0	4	0	1.334E+008	76952.64	-0.38
1	0	1	0	4	2	2.662E+008	76730.60	-0.32
1	0	1	0	5	0	1.443E+008	74013.34	-0.38
1	0	1	0	5	2	2.850E+008	73802.37	-0.47
1	0	1	0	6	0	1.137E+008	71244.26	-0.34
1	0	1	0	6	2	2.217E+008	71044.25	-0.34
1	0	1	0	7	0	6.496E+007	68646.07	-0.36
1	0	1	0	7	2	1.247E+008	68457.29	-0.34
1	0	1	0	8	0	2.611E+007	66221.74	-0.55
1	0	1	0	8	2	4.902E+007	66044.40	-0.48
1	0	1	0	9	0	6.866E+006	63975.76	-0.56
1	0	1	0	9	2	1.253E+007	63810.24	-0.36
1	0	1	0	10	0	1.009E+006	61914.83	          
1	0	1	0	10	2	1.779E+006	61761.73	          
1	0	1	0	11	0	5.562E+004	60048.36	          
1	0	1	0	11	2	9.008E+004	59908.43	          
1	0	1	0	12	0	5.972E+001	58389.08	          
1	0	1	0	12	2	3.486E+000	58263.46	          
1	0	1	0	13	0	1.111E+002	56953.94	          
1	0	1	0	13	2	1.426E+002	56844.06	          
1	0	1	0	14	0	3.071E+000	55765.60	          
1	0	1	0	14	2	6.115E+000	55673.60	          
1	0	1	0	15	0	2.200E-001	54854.00	          
1	0	1	0	15	2	1.914E-002	54782.86	          
1	0	1	0	16	0	4.115E-001	54258.64	          
1	0	1	0	16	2	7.014E-003	54213.41	          
1	0	1	0	17	0	5.491E-002	54028.13	          
1	0	2	0	0	1	1.576E+006	90398.76	          
1	0	2	0	0	3	2.490E+006	89955.67	          
1	0	2	0	1	1	1.267E+007	86770.45	          
1	0	2	0	1	3	1.977E+007	86346.57	          
1	0	2	0	2	1	4.662E+007	83319.72	-1.18
1	0	2	0	2	3	7.183E+007	82914.52	-0.64
1	0	2	0	3	1	1.046E+008	80042.56	-0.59
1	0	2	0	3	3	1.589E+008	79655.96	-0.61
1	0	2	0	4	1	1.596E+008	76937.01	-0.43
1	0	2	0	4	3	2.384E+008	76568.76	-0.6
1	0	2	0	5	1	1.740E+008	74001.51	-0.6
1	0	2	0	5	3	2.551E+008	73651.50	-0.59
1	0	2	0	6	1	1.381E+008	71235.98	-0.53
1	0	2	0	6	3	1.981E+008	70904.40	-0.44
1	0	2	0	7	1	7.943E+007	68641.55	-0.37
1	0	2	0	7	3	1.110E+008	68328.58	-0.48
1	0	2	0	8	1	3.210E+007	66221.02	-0.52
