2 4 29 // magic number - today's date
#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu  2011-03-20T22:24:22
#Title: Transition probabilities in the HD molecule (Abgrall+, 2006)
#
#n1	v1	J1	n0	v0	J0	A	Etr	o-c
4	0	0	0	0	1	1.480E+007	110544.25	-1.29
4	0	0	0	1	1	6.204E+007	106915.94	          
4	0	0	0	2	1	1.090E+008	103465.21	          
4	0	0	0	3	1	1.047E+008	100188.05	          
4	0	0	0	4	1	6.004E+007	97082.50	          
4	0	0	0	5	1	2.091E+007	94147.00	          
4	0	0	0	6	1	4.275E+006	91381.47	          
4	0	0	0	7	1	4.582E+005	88787.04	          
4	0	0	0	8	1	1.830E+004	86366.51	          
4	0	0	0	9	1	1.801E+001	84124.46	          
4	0	0	0	10	1	2.756E+001	82067.72	          
4	0	0	0	11	1	9.011E-001	80205.55	          
4	0	0	0	12	1	3.860E-002	78551.06	          
4	0	0	0	13	1	1.133E-003	77120.88	          
4	0	0	0	14	1	1.149E-002	75938.87	          
4	0	0	0	15	1	1.226E-002	75034.11	          
4	0	0	0	16	1	5.279E-003	74447.33	          
4	0	0	0	17	1	1.500E-002	74227.38	          
4	0	1	0	0	0	5.155E+006	110672.27	-0.5
4	0	1	0	0	2	9.888E+006	110405.15	-0.83
4	0	1	0	1	0	2.018E+007	107040.11	          
4	0	1	0	1	2	4.064E+007	106784.57	          
4	0	1	0	2	0	4.177E+007	103585.40	          
4	0	1	0	2	2	6.788E+007	103341.21	          
4	0	1	0	3	0	3.702E+007	100304.54	          
4	0	1	0	3	2	6.761E+007	100071.59	          
4	0	1	0	4	0	1.888E+007	97195.39	          
4	0	1	0	4	2	4.025E+007	96973.35	          
4	0	1	0	5	0	8.755E+006	94256.09	          
4	0	1	0	5	2	1.249E+007	94045.12	          
4	0	1	0	6	0	2.029E+006	91487.01	          
4	0	1	0	6	2	2.350E+006	91287.00	          
4	0	1	0	7	0	1.651E+004	88888.82	          
4	0	1	0	7	2	4.806E+005	88700.04	          
4	0	1	0	8	0	2.403E+002	86464.49	          
4	0	1	0	8	2	3.456E+004	86287.15	          
4	0	1	0	9	0	9.324E+004	84218.51	          
4	0	1	0	9	2	4.737E+004	84052.99	          
4	0	1	0	10	0	2.331E+003	82157.58	          
4	0	1	0	10	2	4.001E+003	82004.48	          
4	0	1	0	11	0	2.543E+005	80291.11	          
4	0	1	0	11	2	1.773E+005	80151.18	          
4	0	1	0	12	0	2.884E+005	78631.83	          
4	0	1	0	12	2	1.205E+005	78506.21	          
4	0	1	0	13	0	1.192E+004	77196.69	          
4	0	1	0	13	2	2.285E+003	77086.81	          
4	0	1	0	14	0	4.729E+003	76008.35	          
4	0	1	0	14	2	2.004E+002	75916.35	          
4	0	1	0	15	0	6.978E+002	75096.75	          
4	0	1	0	15	2	2.017E+002	75025.61	          
4	0	1	0	16	0	9.278E+001	74501.39	          
4	0	1	0	16	2	2.075E+002	74456.16	          
4	0	1	0	17	0	4.421E+002	74270.88	          
4	0	2	0	0	1	6.419E+006	110660.40	1.08
4	0	2	0	0	3	8.320E+006	110217.31	-1.45
4	0	2	0	1	1	2.678E+007	107032.09	          
4	0	2	0	1	3	3.463E+007	106608.21	          
4	0	2	0	2	1	4.749E+007	103581.36	          
4	0	2	0	2	3	6.102E+007	103176.16	          
