2 4 29 // magic number - today's date
#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu  2011-03-20T22:24:22
#Title: Transition probabilities in the HD molecule (Abgrall+, 2006)
#
#n1	v1	J1	n0	v0	J0	A	Etr	o-c
3	0	1	0	0	1	1.134E+008	99186.68	0.04
3	0	1	0	1	1	3.326E+008	95558.37	          
3	0	1	0	2	1	3.928E+008	92107.64	          
3	0	1	0	3	1	2.418E+008	88830.48	-0.38
3	0	1	0	4	1	8.359E+007	85724.93	-0.2
3	0	1	0	5	1	1.616E+007	82789.43	-0.35
3	0	1	0	6	1	1.613E+006	80023.90	          
3	0	1	0	7	1	6.579E+004	77429.47	          
3	0	1	0	8	1	4.276E+002	75008.94	          
3	0	1	0	9	1	7.278E+000	72766.89	          
3	0	1	0	10	1	4.025E-002	70710.15	          
3	0	1	0	11	1	1.026E-002	68847.98	          
3	0	1	0	12	1	2.663E-005	67193.49	          
3	0	1	0	13	1	8.000E-005	65763.31	          
3	0	1	0	14	1	1.055E-005	64581.30	          
3	0	1	0	15	1	4.702E-006	63676.54	          
3	0	1	0	16	1	1.437E-005	63089.76	          
3	0	1	0	17	1	1.225E-006	62869.81	          
3	0	2	0	0	2	1.132E+008	99100.39	-0.25
3	0	2	0	1	2	3.323E+008	95479.81	          
3	0	2	0	2	2	3.926E+008	92036.45	          
3	0	2	0	3	2	2.417E+008	88766.83	-0.43
3	0	2	0	4	2	8.349E+007	85668.59	-0.15
3	0	2	0	5	2	1.611E+007	82740.36	-0.17
3	0	2	0	6	2	1.601E+006	79982.24	          
3	0	2	0	7	2	6.463E+004	77395.28	          
3	0	2	0	8	2	4.011E+002	74982.39	          
3	0	2	0	9	2	7.594E+000	72748.23	          
3	0	2	0	10	2	3.409E-002	70699.72	          
3	0	2	0	11	2	1.049E-002	68846.42	          
3	0	2	0	12	2	3.577E-005	67201.45	          
3	0	2	0	13	2	9.202E-005	65782.05	          
3	0	2	0	14	2	1.958E-005	64611.59	          
3	0	2	0	15	2	1.089E-006	63720.85	          
3	0	2	0	16	2	8.501E-006	63151.40	          
3	0	3	0	0	3	1.130E+008	98971.93	-0.16
3	0	3	0	1	3	3.319E+008	95362.83	          
3	0	3	0	2	3	3.923E+008	91930.78	          
3	0	3	0	3	3	2.415E+008	88672.22	-0.32
3	0	3	0	4	3	8.334E+007	85585.02	-0.11
3	0	3	0	5	3	1.604E+007	82667.76	-0.35
3	0	3	0	6	3	1.584E+006	79920.66	          
3	0	3	0	7	3	6.291E+004	77344.84	          
3	0	3	0	8	3	3.631E+002	74943.40	          
3	0	3	0	9	3	8.060E+000	72721.03	          
3	0	3	0	10	3	2.561E-002	70684.86	          
3	0	3	0	11	3	1.082E-002	68844.77	          
3	0	3	0	12	3	5.521E-005	67214.07	          
3	0	3	0	13	3	1.073E-004	65810.57	          
3	0	3	0	14	3	3.706E-005	64658.21	          
3	0	3	0	15	3	3.865E-007	63788.51	          
3	0	3	0	16	3	2.596E-006	63245.49	          
3	0	4	0	0	4	1.126E+008	98802.01	0.62
3	0	4	0	1	4	3.313E+008	95208.27	          
3	0	4	0	2	4	3.919E+008	91791.10	          
3	0	4	0	3	4	2.412E+008	88547.28	-0.88
3	0	4	0	4	4	8.314E+007	85474.61	-0.01
3	0	4	0	5	4	1.594E+007	82571.93	-0.04
3	0	4	0	6	4	1.561E+006	79839.45	          
3	0	4	0	7	4	6.067E+004	77278.46	          
3	0	4	0	8	4	3.159E+002	74892.13	          
3	0	4	0	9	4	8.659E+000	72685.53	          
3	0	4	0	10	4	1.593E-002	70665.89	          
3	0	4	0	11	4	1.121E-002	68843.39	          
3	0	4	0	12	4	9.538E-005	67231.75	          
3	0	4	0	13	4	1.205E-004	65849.39	          
3	0	4	0	14	4	6.517E-005	64721.27	          
3	0	4	0	15	4	7.573E-006	63880.24	          
3	0	4	0	16	4	2.430E-009	63373.53	          
3	0	5	0	0	5	1.122E+008	98592.22	-0.02
3	0	5	0	1	5	3.306E+008	95017.27	          
3	0	5	0	2	5	3.914E+008	91618.88	          
3	0	5	0	3	5	2.410E+008	88393.40	-0.5
3	0	5	0	4	5	8.291E+007	85338.83	-0.13
3	0	5	0	5	5	1.582E+007	82454.23	          
3	0	5	0	6	5	1.532E+006	79739.91	          
3	0	5	0	7	5	5.792E+004	77197.36	          
3	0	5	0	8	5	2.622E+002	74829.95	          
3	0	5	0	9	5	9.367E+000	72642.96	          
3	0	5	0	10	5	6.766E-003	70643.90	          
3	0	5	0	11	5	1.161E-002	68843.30	          
3	0	5	0	12	5	1.763E-004	67255.72	          
3	0	5	0	13	5	1.229E-004	65900.04	          
3	0	5	0	14	5	1.024E-004	64802.28	          
3	0	5	0	15	5	2.682E-005	63997.87	          
3	0	5	0	16	5	3.419E-006	63538.86	          
3	0	6	0	0	6	1.118E+008	98343.52	0.26
3	0	6	0	1	6	3.298E+008	94791.70	          
3	0	6	0	2	6	3.909E+008	91415.15	          
3	0	6	0	3	6	2.406E+008	88211.45	-0.25
3	0	6	0	4	6	8.263E+007	85178.43	-0.07
3	0	6	0	5	6	1.568E+007	82315.49	          
3	0	6	0	6	6	1.498E+006	79622.74	          
3	0	6	0	7	6	5.471E+004	77102.35	          
3	0	6	0	8	6	2.052E+002	74757.46	          
3	0	6	0	9	6	1.014E+001	72593.86	          
3	0	6	0	10	6	7.320E-004	70619.43	          
3	0	6	0	11	6	1.188E-002	68845.39	          
3	0	6	0	12	6	3.333E-004	67286.59	          
3	0	6	0	13	6	1.030E-004	65963.38	          
3	0	6	0	14	6	1.380E-004	64902.62	          
3	0	6	0	15	6	5.643E-005	64143.37	          
3	0	7	0	0	7	1.112E+008	98058.91	-0.24
3	0	7	0	1	7	3.288E+008	94532.77	          
3	0	7	0	2	7	3.902E+008	91181.76	          
3	0	7	0	3	7	2.402E+008	88003.31	-0.31
3	0	7	0	4	7	8.231E+007	84995.32	          
3	0	7	0	5	7	1.552E+007	82157.21	          
3	0	7	0	6	7	1.459E+006	79489.60	          
3	0	7	0	7	7	5.108E+004	76994.75	          
3	0	7	0	8	7	1.484E+002	74676.09	          
3	0	7	0	9	7	1.092E+001	72539.92	          
3	0	7	0	10	7	1.651E-003	70594.29	          
3	0	7	0	11	7	1.182E-002	68851.05	          
3	0	7	0	12	7	6.184E-004	67326.35	          
3	0	7	0	13	7	5.786E-005	66040.84	          
3	0	7	0	14	7	1.525E-004	65024.85	          
3	0	7	0	15	7	8.445E-005	64319.44	          
3	0	8	0	0	8	1.105E+008	97739.44	          
3	0	8	0	1	8	3.277E+008	94242.45	          
3	0	8	0	2	8	3.895E+008	90920.50	          
3	0	8	0	3	8	2.398E+008	87770.79	          
3	0	8	0	4	8	8.196E+007	84790.58	          
3	0	8	0	5	8	1.533E+007	81981.40	          
3	0	8	0	6	8	1.415E+006	79341.99	          
3	0	8	0	7	8	4.708E+004	76875.63	          
3	0	8	0	8	8	9.582E+001	74587.13	          
3	0	8	0	9	8	1.163E+001	72481.88	          
3	0	8	0	10	8	1.489E-002	70569.35	          
3	0	8	0	11	8	1.113E-002	68861.66	          
3	0	8	0	12	8	1.087E-003	67375.56	          
3	0	8	0	13	8	8.710E-006	66134.60	          
3	0	8	0	14	8	1.261E-004	65170.16	          
3	0	8	0	15	8	8.980E-005	64530.55	          
3	0	9	0	0	9	1.098E+008	97387.03	          
3	0	9	0	1	9	3.264E+008	93922.73	          
3	0	9	0	2	9	3.888E+008	90632.66	          
3	0	9	0	3	9	2.394E+008	87514.28	          
3	0	9	0	4	9	8.157E+007	84566.09	          
3	0	9	0	5	9	1.512E+007	81787.83	          
3	0	9	0	6	9	1.366E+006	79180.60	          
3	0	9	0	7	9	4.277E+004	76747.07	          
3	0	9	0	8	9	5.131E+001	74491.77	          
3	0	9	0	9	9	1.215E+001	72421.52	          
3	0	9	0	10	9	4.757E-002	70545.96	          
3	0	9	0	11	9	9.461E-003	68878.34	          
3	0	9	0	12	9	1.762E-003	67436.78	          
3	0	9	0	13	9	1.671E-005	66246.17	          
3	0	9	0	14	9	6.025E-005	65341.99	          
3	0	10	0	0	10	1.090E+008	97004.13	          
3	0	10	0	1	10	3.250E+008	93575.63	          
3	0	10	0	2	10	3.880E+008	90320.75	          
3	0	10	0	3	10	2.390E+008	87237.13	          
3	0	10	0	4	10	8.115E+007	84323.51	          
3	0	10	0	5	10	1.489E+007	81579.90	          
3	0	10	0	6	10	1.311E+006	79007.69	          
3	0	10	0	7	10	3.821E+004	76609.92	          
3	0	10	0	8	10	1.877E+001	74391.57	          
3	0	10	0	9	10	1.236E+001	72360.04	          
3	0	10	0	10	10	1.083E-001	70525.72	          
3	0	10	0	11	10	6.615E-003	68902.93	          
3	0	10	0	12	10	2.544E-003	67511.28	          
3	0	10	0	13	10	1.733E-004	66378.16	          
3	0	10	0	14	10	3.098E-006	65543.93	          
3	1	1	0	0	1	2.099E+008	101200.31	-0.58
3	1	1	0	1	1	2.154E+008	97572.00	          
3	1	1	0	2	1	4.910E+006	94121.27	          
3	1	1	0	3	1	1.445E+008	90844.11	-0.01
3	1	1	0	4	1	3.152E+008	87738.56	-0.27
3	1	1	0	5	1	2.062E+008	84803.06	-0.54
