2 4 29 // magic number - today's date
#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu  2011-03-20T22:24:22
#Title: Transition probabilities in the HD molecule (Abgrall+, 2006)
#
#n1	v1	J1	n0	v0	J0	A	Etr	o-c
2	0	1	0	0	0	7.130E+007	99276.56	0.4
2	0	1	0	0	2	4.215E+007	99009.44	-0.03
2	0	1	0	1	0	2.126E+008	95644.40	          
2	0	1	0	1	2	1.200E+008	95388.86	          
2	0	1	0	2	0	2.572E+008	92189.69	          
2	0	1	0	2	2	1.354E+008	91945.50	          
2	0	1	0	3	0	1.626E+008	88908.83	-0.23
2	0	1	0	3	2	7.918E+007	88675.88	-0.38
2	0	1	0	4	0	5.690E+007	85799.68	-0.14
2	0	1	0	4	2	2.679E+007	85577.64	0.15
2	0	1	0	5	0	1.067E+007	82860.38	-0.12
2	0	1	0	5	2	5.516E+006	82649.41	-0.18
2	0	1	0	6	0	1.028E+006	80091.30	          
2	0	1	0	6	2	5.800E+005	79891.29	          
2	0	1	0	7	0	7.090E+004	77493.11	          
2	0	1	0	7	2	4.160E+003	77304.33	          
2	0	1	0	8	0	4.041E+003	75068.78	          
2	0	1	0	8	2	2.319E+003	74891.44	          
2	0	1	0	9	0	2.717E+003	72822.80	          
2	0	1	0	9	2	5.385E+003	72657.28	          
2	0	1	0	10	0	1.555E+003	70761.87	          
2	0	1	0	10	2	2.360E+003	70608.77	          
2	0	1	0	11	0	3.315E+003	68895.40	          
2	0	1	0	11	2	7.151E+003	68755.47	          
2	0	1	0	12	0	2.745E+002	67236.12	          
2	0	1	0	12	2	2.071E+002	67110.50	          
2	0	1	0	13	0	4.047E+003	65800.98	          
2	0	1	0	13	2	7.783E+003	65691.10	          
2	0	1	0	14	0	6.890E+002	64612.64	          
2	0	1	0	14	2	1.879E+003	64520.64	          
2	0	1	0	15	0	1.416E+003	63701.04	          
2	0	1	0	15	2	4.979E+003	63629.90	          
2	0	1	0	16	0	1.040E+004	63105.68	          
2	0	1	0	16	2	1.571E+004	63060.45	          
2	0	1	0	17	0	1.340E+003	62875.17	          
2	0	2	0	0	1	6.081E+007	99280.18	-0.05
