2 4 29 // magic number - today's date
#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu  2011-03-20T22:24:22
#Title: Transition probabilities in the HD molecule (Abgrall+, 2006)
#
#n1	v1	J1	n0	v0	J0	A	Etr	o-c
6	0	1	0	0	1	2.744E+007	112975.22	0.68
6	0	1	0	1	1	8.850E+007	109346.91	          
6	0	1	0	2	1	1.168E+008	105896.18	          
6	0	1	0	3	1	8.189E+007	102619.02	          
6	0	1	0	4	1	3.308E+007	99513.47	          
6	0	1	0	5	1	7.755E+006	96577.97	          
6	0	1	0	6	1	9.968E+005	93812.44	          
6	0	1	0	7	1	5.930E+004	91218.01	          
6	0	1	0	8	1	9.409E+002	88797.48	          
6	0	1	0	9	1	6.915E-001	86555.43	          
6	0	1	0	10	1	1.242E-001	84498.69	          
6	0	1	0	11	1	3.434E-002	82636.52	          
6	0	1	0	12	1	4.279E-006	80982.03	          
6	0	1	0	13	1	5.904E-001	79551.85	          
6	0	1	0	14	1	2.262E-001	78369.84	          
6	0	1	0	15	1	3.564E-002	77465.08	          
6	0	1	0	16	1	2.235E-003	76878.30	          
6	0	1	0	17	1	3.510E-005	76658.35	          
6	0	2	0	0	2	2.739E+007	112886.03	-1.42
6	0	2	0	1	2	8.840E+007	109265.45	          
6	0	2	0	2	2	1.167E+008	105822.09	          
6	0	2	0	3	2	8.186E+007	102552.47	          
6	0	2	0	4	2	3.306E+007	99454.23	          
6	0	2	0	5	2	7.741E+006	96526.00	          
6	0	2	0	6	2	9.917E+005	93767.88	          
6	0	2	0	7	2	5.855E+004	91180.92	          
6	0	2	0	8	2	9.059E+002	88768.03	          
6	0	2	0	9	2	9.074E-001	86533.87	          
6	0	2	0	10	2	1.150E-001	84485.36	          
6	0	2	0	11	2	2.678E-002	82632.06	          
6	0	2	0	12	2	3.300E-004	80987.09	          
6	0	2	0	13	2	5.621E-001	79567.69	          
6	0	2	0	14	2	2.202E-001	78397.23	          
6	0	2	0	15	2	3.606E-002	77506.49	          
6	0	2	0	16	2	2.489E-003	76937.04	          
6	0	3	0	0	3	2.731E+007	112753.22	-1.84
6	0	3	0	1	3	8.824E+007	109144.12	          
6	0	3	0	2	3	1.166E+008	105712.07	          
6	0	3	0	3	3	8.183E+007	102453.51	          
6	0	3	0	4	3	3.304E+007	99366.31	          
6	0	3	0	5	3	7.719E+006	96449.05	          
6	0	3	0	6	3	9.841E+005	93701.95	          
6	0	3	0	7	3	5.743E+004	91126.13	          
6	0	3	0	8	3	8.545E+002	88724.69	          
6	0	3	0	9	3	1.268E+000	86502.32	          
6	0	3	0	10	3	9.937E-002	84466.15	          
6	0	3	0	11	3	1.908E-002	82626.06	          
6	0	3	0	12	3	1.700E-003	80995.36	          
6	0	3	0	13	3	5.477E-001	79591.86	          
6	0	3	0	14	3	2.216E-001	78439.50	          
6	0	3	0	15	3	3.828E-002	77569.80	          
6	0	3	0	16	3	2.966E-003	77026.78	          
6	0	4	0	0	4	2.720E+007	112577.54	-0.76
6	0	4	0	1	4	8.803E+007	108983.80	          
6	0	4	0	2	4	1.165E+008	105566.63	          
6	0	4	0	3	4	8.178E+007	102322.81	          
6	0	4	0	4	4	3.300E+007	99250.14	          
6	0	4	0	5	4	7.691E+006	96347.46	          
6	0	4	0	6	4	9.740E+005	93614.98	          
6	0	4	0	7	4	5.596E+004	91053.99	          
6	0	4	0	8	4	7.885E+002	88667.66	          
6	0	4	0	9	4	1.831E+000	86461.06	          
6	0	4	0	10	4	7.802E-002	84441.42	          
6	0	4	0	11	4	1.136E-002	82618.92	          
6	0	4	0	12	4	5.230E-003	81007.28	          
6	0	4	0	13	4	5.432E-001	79624.92	          
6	0	4	0	14	4	2.279E-001	78496.80	          
6	0	4	0	15	4	4.199E-002	77655.77	          
6	0	4	0	16	4	3.648E-003	77149.06	          
6	0	5	0	0	5	2.707E+007	112360.60	0.41
6	0	5	0	1	5	8.778E+007	108785.65	          
6	0	5	0	2	5	1.163E+008	105387.26	          
6	0	5	0	3	5	8.172E+007	102161.78	          
6	0	5	0	4	5	3.296E+007	99107.21	          
6	0	5	0	5	5	7.656E+006	96222.61	          
6	0	5	0	6	5	9.614E+005	93508.29	          
6	0	5	0	7	5	5.414E+004	90965.74	          
6	0	5	0	8	5	7.097E+002	88598.33	          
6	0	5	0	9	5	2.647E+000	86411.34	          
6	0	5	0	10	5	5.066E-002	84412.28	          
6	0	5	0	11	5	5.512E-003	82611.68	          
6	0	5	0	12	5	1.275E-002	81024.10	          
6	0	5	0	13	5	5.777E-001	79668.42	          
6	0	5	0	14	5	2.530E-001	78570.66	          
6	0	5	0	15	5	4.993E-002	77766.25	          
6	0	5	0	16	5	4.669E-003	77307.24	          
6	0	6	0	0	6	2.691E+007	112103.38	1.4
6	0	6	0	1	6	8.747E+007	108551.56	          
6	0	6	0	2	6	1.161E+008	105175.01	          
6	0	6	0	3	6	8.166E+007	101971.31	          
6	0	6	0	4	6	3.291E+007	98938.29	          
6	0	6	0	5	6	7.613E+006	96075.35	          
6	0	6	0	6	6	9.464E+005	93382.60	          
6	0	6	0	7	6	5.199E+004	90862.21	          
6	0	6	0	8	6	6.209E+002	88517.32	          
6	0	6	0	9	6	3.797E+000	86353.72	          
6	0	6	0	10	6	2.088E-002	84379.29	          
6	0	6	0	11	6	1.646E-003	82605.25	          
6	0	6	0	12	6	2.839E-002	81046.45	          
6	0	6	0	13	6	6.801E-001	79723.24	          
6	0	6	0	14	6	3.130E-001	78662.48	          
6	0	6	0	15	6	6.620E-002	77903.23	          
6	0	7	0	0	7	2.672E+007	111808.92	-1.14
6	0	7	0	1	7	8.711E+007	108282.78	          
6	0	7	0	2	7	1.159E+008	104931.77	          
6	0	7	0	3	7	8.159E+007	101753.32	          
6	0	7	0	4	7	3.285E+007	98745.33	          
6	0	7	0	5	7	7.564E+006	95907.22	          
6	0	7	0	6	7	9.289E+005	93239.61	          
6	0	7	0	7	7	4.953E+004	90744.76	          
6	0	7	0	8	7	5.249E+002	88426.10	          
6	0	7	0	9	7	5.404E+000	86289.93	          
6	0	7	0	10	7	3.293E-004	84344.30	          
6	0	7	0	11	7	3.433E-005	82601.06	          
6	0	7	0	12	7	6.475E-002	81076.36	          
6	0	7	0	13	7	9.610E-001	79790.85	          
6	0	7	0	14	7	4.739E-001	78774.86	          
6	0	7	0	15	7	1.071E-001	78069.45	          
6	0	8	0	0	8	2.650E+007	111478.32	-3.95
6	0	8	0	1	8	8.670E+007	107981.33	          
6	0	8	0	2	8	1.156E+008	104659.38	          
6	0	8	0	3	8	8.152E+007	101509.67	          
6	0	8	0	4	8	3.279E+007	98529.46	          
6	0	8	0	5	8	7.508E+006	95720.28	          
