2 4 29 // magic number - today's date
#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu  2011-03-20T22:24:22
#Title: Transition probabilities in the HD molecule (Abgrall+, 2006)
#
#n1	v1	J1	n0	v0	J0	A	Etr	o-c
5	0	1	0	0	0	1.720E+007	113066.22	0.54
5	0	1	0	0	2	1.025E+007	112799.10	0.58
5	0	1	0	1	0	5.518E+007	109434.06	          
5	0	1	0	1	2	3.330E+007	109178.52	          
5	0	1	0	2	0	7.292E+007	105979.35	          
5	0	1	0	2	2	4.380E+007	105735.16	          
5	0	1	0	3	0	5.191E+007	102698.49	          
5	0	1	0	3	2	2.987E+007	102465.54	          
5	0	1	0	4	0	2.194E+007	99589.34	          
5	0	1	0	4	2	1.106E+007	99367.30	          
5	0	1	0	5	0	5.759E+006	96650.04	          
5	0	1	0	5	2	2.045E+006	96439.07	          
5	0	1	0	6	0	9.608E+005	93880.96	          
5	0	1	0	6	2	1.239E+005	93680.95	          
5	0	1	0	7	0	1.034E+005	91282.77	          
5	0	1	0	7	2	6.102E+002	91093.99	          
5	0	1	0	8	0	7.195E+003	88858.44	          
5	0	1	0	8	2	3.802E+003	88681.10	          
5	0	1	0	9	0	2.879E+002	86612.46	          
5	0	1	0	9	2	4.730E+002	86446.94	          
5	0	1	0	10	0	1.500E+000	84551.53	          
5	0	1	0	10	2	9.296E-001	84398.43	          
5	0	1	0	11	0	2.881E+000	82685.06	          
5	0	1	0	11	2	7.190E-001	82545.13	          
5	0	1	0	12	0	2.671E-001	81025.78	          
5	0	1	0	12	2	3.567E-001	80900.16	          
5	0	1	0	13	0	6.200E+000	79590.64	          
5	0	1	0	13	2	2.175E+000	79480.76	          
5	0	1	0	14	0	2.141E+000	78402.30	          
5	0	1	0	14	2	1.093E+000	78310.30	          
5	0	1	0	15	0	3.538E-001	77490.70	          
5	0	1	0	15	2	1.805E-001	77419.56	          
5	0	1	0	16	0	3.165E-002	76895.34	          
5	0	1	0	16	2	9.231E-003	76850.11	          
5	0	1	0	17	0	3.184E-002	76664.83	          
5	0	2	0	0	1	1.454E+007	113069.08	-3.26
5	0	2	0	0	3	1.284E+007	112625.99	-3.26
5	0	2	0	1	1	4.645E+007	109440.77	          
5	0	2	0	1	3	4.193E+007	109016.89	          
5	0	2	0	2	1	6.132E+007	105990.04	          
5	0	2	0	2	3	5.521E+007	105584.84	          
5	0	2	0	3	1	4.425E+007	102712.88	          
5	0	2	0	3	3	3.728E+007	102326.28	          
5	0	2	0	4	1	1.955E+007	99607.33	          
5	0	2	0	4	3	1.332E+007	99239.08	          
5	0	2	0	5	1	5.684E+006	96671.83	          
5	0	2	0	5	3	2.186E+006	96321.82	          
5	0	2	0	6	1	1.167E+006	93906.30	          
5	0	2	0	6	3	7.282E+004	93574.72	          
5	0	2	0	7	1	1.789E+005	91311.87	          
5	0	2	0	7	3	1.235E+004	90998.90	          
5	0	2	0	8	1	1.956E+004	88891.34	          
5	0	2	0	8	3	1.127E+004	88597.46	          
5	0	2	0	9	1	1.121E+003	86649.29	          
5	0	2	0	9	3	1.263E+003	86375.09	          
5	0	2	0	10	1	4.178E+000	84592.55	          
5	0	2	0	10	3	2.250E+000	84338.92	          
5	0	2	0	11	1	4.855E+000	82730.38	          
5	0	2	0	11	3	9.396E+000	82498.83	          
5	0	2	0	12	1	6.145E-002	81075.89	          
5	0	2	0	12	3	2.596E-002	80868.13	          
5	0	2	0	13	1	3.221E-001	79645.71	          
5	0	2	0	13	3	7.882E-002	79464.63	          
5	0	2	0	14	1	1.474E-001	78463.70	          
5	0	2	0	14	3	9.087E-002	78312.27	          
5	0	2	0	15	1	5.899E-002	77558.94	          
5	0	2	0	15	3	4.456E-003	77442.57	          
5	0	2	0	16	1	2.159E-002	76972.16	          
5	0	2	0	16	3	1.014E-003	76899.55	          
5	0	2	0	17	1	8.745E-002	76752.21	          
5	0	3	0	0	2	1.310E+007	113028.34	-1.23
5	0	3	0	0	4	1.419E+007	112412.16	-1.13
5	0	3	0	1	2	4.151E+007	109407.76	          
5	0	3	0	1	4	4.664E+007	108818.42	          
5	0	3	0	2	2	5.463E+007	105964.40	          
5	0	3	0	2	4	6.169E+007	105401.25	          
5	0	3	0	3	2	3.978E+007	102694.78	          
5	0	3	0	3	4	4.144E+007	102157.43	          
5	0	3	0	4	2	1.825E+007	99596.54	          
5	0	3	0	4	4	1.435E+007	99084.76	          
5	0	3	0	5	2	5.838E+006	96668.31	          
5	0	3	0	5	4	2.105E+006	96182.08	          
5	0	3	0	6	2	1.430E+006	93910.19	          
5	0	3	0	6	4	2.922E+004	93449.60	          
5	0	3	0	7	2	2.780E+005	91323.23	          
5	0	3	0	7	4	3.939E+004	90888.61	          
5	0	3	0	8	2	3.840E+004	88910.34	          
5	0	3	0	8	4	2.256E+004	88502.28	          
5	0	3	0	9	2	2.683E+003	86676.18	          
5	0	3	0	9	4	2.130E+003	86295.68	          
5	0	3	0	10	2	1.706E+001	84627.67	          
5	0	3	0	10	4	1.043E+000	84276.04	          
5	0	3	0	11	2	1.568E+001	82774.37	          
5	0	3	0	11	4	1.164E+001	82453.54	          
5	0	3	0	12	2	8.788E-001	81129.40	          
5	0	3	0	12	4	3.116E-001	80841.90	          
5	0	3	0	13	2	3.542E+000	79710.00	          
5	0	3	0	13	4	2.718E+000	79459.54	          
5	0	3	0	14	2	1.647E+000	78539.54	          
5	0	3	0	14	4	9.612E-001	78331.42	          
5	0	3	0	15	2	1.420E-001	77648.80	          
5	0	3	0	15	4	3.117E-001	77490.39	          
5	0	3	0	16	2	3.180E-004	77079.35	          
5	0	3	0	16	4	5.310E-002	76983.68	          
5	0	4	0	0	3	1.220E+007	112944.22	-2.31
5	0	4	0	0	5	1.496E+007	112159.09	-2.16
5	0	4	0	1	3	3.819E+007	109335.12	          
5	0	4	0	1	5	4.967E+007	108584.14	          
5	0	4	0	2	3	4.983E+007	105903.07	          
5	0	4	0	2	5	6.621E+007	105185.75	          
5	0	4	0	3	3	3.636E+007	102644.51	          
5	0	4	0	3	5	4.448E+007	101960.27	          
5	0	4	0	4	3	1.721E+007	99557.31	          
5	0	4	0	4	5	1.507E+007	98905.70	          
5	0	4	0	5	3	6.007E+006	96640.05	          
5	0	4	0	5	5	1.988E+006	96021.10	          
5	0	4	0	6	3	1.716E+006	93892.95	          
5	0	4	0	6	5	5.051E+003	93306.78	          
5	0	4	0	7	3	4.016E+005	91317.13	          
5	0	4	0	7	5	8.113E+004	90764.23	          
5	0	4	0	8	3	6.530E+004	88915.69	          
5	0	4	0	8	5	3.739E+004	88396.82	          
5	0	4	0	9	3	5.178E+003	86693.32	          
5	0	4	0	9	5	3.151E+003	86209.83	          
5	0	4	0	10	3	4.261E+001	84657.15	          
5	0	4	0	10	5	3.180E-003	84210.77	          
5	0	4	0	11	3	3.491E+001	82817.06	          
5	0	4	0	11	5	1.505E+001	82410.17	          
5	0	4	0	12	3	3.152E+000	81186.36	          
5	0	4	0	12	5	8.715E-001	80822.59	          
5	0	4	0	13	3	1.897E+001	79782.86	          
5	0	4	0	13	5	1.584E+001	79466.91	          
5	0	4	0	14	3	1.162E+001	78630.50	          
5	0	4	0	14	5	6.289E+000	78369.15	          
5	0	4	0	15	3	1.135E+000	77760.80	          
5	0	4	0	15	5	1.933E+000	77564.74	          
5	0	4	0	16	3	2.036E-002	77217.78	          
5	0	4	0	16	5	2.578E-001	77105.73	          
5	0	5	0	0	4	1.164E+007	112816.83	-3.73
5	0	5	0	0	6	1.527E+007	111867.58	-3.27
5	0	5	0	1	4	3.603E+007	109223.09	          
5	0	5	0	1	6	5.164E+007	108315.76	          
5	0	5	0	2	4	4.606E+007	105805.92	          
5	0	5	0	2	6	6.946E+007	104939.21	          
5	0	5	0	3	4	3.337E+007	102562.10	          
5	0	5	0	3	6	4.697E+007	101735.51	          
5	0	5	0	4	4	1.620E+007	99489.43	          
5	0	5	0	4	6	1.576E+007	98702.49	          
5	0	5	0	5	4	6.096E+006	96586.75	          
5	0	5	0	5	6	1.870E+006	95839.55	          
5	0	5	0	6	4	2.005E+006	93854.27	          
5	0	5	0	6	6	1.028E+003	93146.80	          
5	0	5	0	7	4	5.681E+005	91293.28	          
5	0	5	0	7	6	1.311E+005	90626.41	          
5	0	5	0	8	4	1.074E+005	88906.95	          
5	0	5	0	8	6	5.479E+004	88281.52	          
5	0	5	0	9	4	7.730E+003	86700.35	          
5	0	5	0	9	6	5.702E+003	86117.92	          
5	0	5	0	10	4	1.812E+001	84680.71	          
5	0	5	0	10	6	4.870E-001	84143.49	          
5	0	5	0	11	4	6.246E-001	82858.21	          
5	0	5	0	11	6	1.324E+002	82369.45	          
5	0	5	0	12	4	1.593E+000	81246.57	          
5	0	5	0	12	6	1.596E+000	80810.65	          
5	0	5	0	13	4	1.471E+002	79864.21	          
5	0	5	0	13	6	1.464E+002	79487.44	          
5	0	5	0	14	4	1.226E+002	78736.09	          
5	0	5	0	14	6	6.877E+001	78426.68	          
5	0	5	0	15	4	7.546E+000	77895.06	          
5	0	5	0	15	6	1.935E+001	77667.43	          
5	0	5	0	16	4	9.006E-003	77388.35	          
5	0	6	0	0	5	1.150E+007	112647.06	-2.22
5	0	6	0	0	7	1.524E+007	111540.37	-2.21
5	0	6	0	1	5	3.464E+007	109072.11	          
5	0	6	0	1	7	5.236E+007	108014.23	          
5	0	6	0	2	5	4.322E+007	105673.72	          
5	0	6	0	2	7	7.193E+007	104663.22	          
5	0	6	0	3	5	3.062E+007	102448.24	          
5	0	6	0	3	7	4.929E+007	101484.77	          
5	0	6	0	4	5	1.495E+007	99393.67	          
5	0	6	0	4	7	1.639E+007	98476.78	          
5	0	6	0	5	5	6.090E+006	96509.07	          
5	0	6	0	5	7	1.782E+006	95638.67	          
5	0	6	0	6	5	2.325E+006	93794.75	          
5	0	6	0	6	7	1.770E+004	92971.06	          
5	0	6	0	7	5	7.575E+005	91252.20	          
5	0	6	0	7	7	2.172E+005	90476.21	          
5	0	6	0	8	5	1.602E+005	88884.79	          
5	0	6	0	8	7	8.238E+004	88157.55	          
5	0	6	0	9	5	1.468E+004	86697.80	          
5	0	6	0	9	7	6.413E+003	86021.38	          
5	0	6	0	10	5	1.178E+002	84698.74	          
5	0	6	0	10	7	1.305E+001	84075.75	          
5	0	6	0	11	5	8.016E+001	82898.14	          
5	0	6	0	11	7	6.148E+001	82332.51	          
5	0	6	0	12	5	9.800E+000	81310.56	          
5	0	6	0	12	7	1.236E+000	80807.81	          
5	0	6	0	13	5	7.479E+000	79954.88	          
5	0	6	0	13	7	7.048E+000	79522.30	          
5	0	6	0	14	5	5.712E+000	78857.12	          
5	0	6	0	14	7	2.020E+000	78506.31	          
5	0	6	0	15	5	5.543E-001	78052.71	          
5	0	6	0	15	7	6.897E-001	77800.90	          
5	0	6	0	16	5	1.240E-002	77593.70	          
5	0	7	0	0	6	1.176E+007	112435.13	4.07
5	0	7	0	0	8	1.475E+007	111178.15	3.08
5	0	7	0	1	6	3.429E+007	108883.31	          
5	0	7	0	1	8	5.199E+007	107681.16	          
5	0	7	0	2	6	4.101E+007	105506.76	          
5	0	7	0	2	8	7.344E+007	104359.21	          
5	0	7	0	3	6	2.780E+007	102303.06	          
5	0	7	0	3	8	5.149E+007	101209.50	          
5	0	7	0	4	6	1.344E+007	99270.04	          
5	0	7	0	4	8	1.720E+007	98229.29	          
5	0	7	0	5	6	5.933E+006	96407.10	          
5	0	7	0	5	8	1.708E+006	95420.11	          
5	0	7	0	6	6	2.672E+006	93714.35	          
5	0	7	0	6	8	6.259E+004	92780.70	          
5	0	7	0	7	6	1.032E+006	91193.96	          
5	0	7	0	7	8	3.392E+005	90314.34	          
5	0	7	0	8	6	2.497E+005	88849.07	          
5	0	7	0	8	8	1.206E+005	88025.84	          
5	0	7	0	9	6	2.490E+004	86685.47	          
5	0	7	0	9	8	8.929E+003	85920.59	          
5	0	7	0	10	6	1.568E+002	84711.04	          
5	0	7	0	10	8	2.660E+001	84008.05	          
5	0	7	0	11	6	1.357E+002	82937.00	          
5	0	7	0	11	8	1.459E+002	82300.37	          
5	0	7	0	12	6	9.920E+000	81378.20	          
5	0	7	0	12	8	2.577E+000	80814.27	          
5	0	7	0	13	6	1.139E-001	80054.99	          
5	0	7	0	13	8	1.885E+000	79573.31	          
5	0	7	0	14	6	1.006E+000	78994.23	          
5	0	7	0	14	8	8.708E-002	78608.87	          
5	0	7	0	15	6	1.220E-001	78234.98	          
5	0	7	0	15	8	3.412E-002	77969.26	          
5	0	8	0	0	7	1.262E+007	112183.08	18.14
5	0	8	0	0	9	1.361E+007	110782.20	16.81
5	0	8	0	1	7	3.520E+007	108656.94	          
5	0	8	0	1	9	5.016E+007	107317.90	          
5	0	8	0	2	7	3.943E+007	105305.93	          
5	0	8	0	2	9	7.377E+007	104027.83	          
5	0	8	0	3	7	2.465E+007	102127.48	          
5	0	8	0	3	9	5.377E+007	100909.45	          
5	0	8	0	4	7	1.144E+007	99119.49	          
5	0	8	0	4	9	1.828E+007	97961.26	          
5	0	8	0	5	7	5.553E+006	96281.38	          
5	0	8	0	5	9	1.629E+006	95183.00	          
5	0	8	0	6	7	3.087E+006	93613.77	          
5	0	8	0	6	9	1.592E+005	92575.77	          
5	0	8	0	7	7	1.464E+006	91118.92	          
5	0	8	0	7	9	5.419E+005	90142.24	          
5	0	8	0	8	7	4.075E+005	88800.26	          
5	0	8	0	8	9	1.897E+005	87886.94	          
5	0	8	0	9	7	4.278E+004	86664.09	          
5	0	8	0	9	9	1.300E+004	85816.69	          
5	0	8	0	10	7	3.545E+002	84718.46	          
5	0	8	0	10	9	1.539E+002	83941.13	          
5	0	8	0	11	7	2.343E+002	82975.22	          
5	0	8	0	11	9	2.311E+002	82273.51	          
5	0	8	0	12	7	7.802E+001	81450.52	          
5	0	8	0	12	9	3.815E+000	80831.95	          
5	0	8	0	13	7	4.310E+001	80165.01	          
5	0	8	0	13	9	2.494E+001	79641.34	          
5	0	8	0	14	7	3.061E+001	79149.02	          
5	0	8	0	14	9	1.881E+001	78737.16	          
5	0	8	0	15	7	3.163E+000	78443.61	          
5	0	8	0	15	9	7.195E+000	78176.32	          
5	0	9	0	0	8	1.461E+007	111890.39	          
5	0	9	0	0	10	1.165E+007	110353.68	          
5	0	9	0	1	8	3.791E+007	108393.40	          
5	0	9	0	1	10	4.546E+007	106925.18	          
5	0	9	0	2	8	3.845E+007	105071.45	          
5	0	9	0	2	10	7.253E+007	103670.30	          
5	0	9	0	3	8	2.070E+007	101921.74	          
5	0	9	0	3	10	5.620E+007	100586.68	          
5	0	9	0	4	8	8.535E+006	98941.53	          
5	0	9	0	4	10	1.962E+007	97673.06	          
5	0	9	0	5	8	4.800E+006	96132.35	          
5	0	9	0	5	10	1.575E+006	94929.45	          
5	0	9	0	6	8	3.709E+006	93492.94	          
5	0	9	0	6	10	3.757E+005	92357.24	          
5	0	9	0	7	8	2.225E+006	91026.58	          
5	0	9	0	7	10	9.793E+005	89959.47	          
5	0	9	0	8	8	7.229E+005	88738.08	          
5	0	9	0	8	10	3.151E+005	87741.12	          
5	0	9	0	9	8	9.198E+004	86632.83	          
5	0	9	0	9	10	1.882E+004	85709.60	          
5	0	9	0	10	8	2.903E+002	84720.29	          
5	0	9	0	10	10	4.324E+001	83875.27	          
5	0	9	0	11	8	1.112E+003	83012.61	          
5	0	9	0	11	10	8.358E+002	82252.48	          
5	0	9	0	12	8	4.279E+001	81526.51	          
5	0	9	0	12	10	8.102E+001	80860.83	          
5	0	9	0	13	8	6.074E+002	80285.55	          
5	0	9	0	13	10	1.706E+003	79727.71	          
5	0	9	0	14	8	1.798E+003	79321.11	          
5	0	9	0	14	10	3.753E+002	78893.48	          
5	0	9	0	15	8	1.979E+002	78681.50	          
5	0	10	0	0	9	1.865E+007	111555.33	          
5	0	10	0	1	9	4.437E+007	108091.03	          
5	0	10	0	2	9	3.749E+007	104800.96	          
5	0	10	0	3	9	1.473E+007	101682.58	          
5	0	10	0	4	9	4.404E+006	98734.39	          
5	0	10	0	5	9	3.335E+006	95956.13	          
5	0	10	0	6	9	4.638E+006	93348.90	          
5	0	10	0	7	9	3.948E+006	90915.37	          
5	0	10	0	8	9	1.513E+006	88660.07	          
5	0	10	0	9	9	2.037E+005	86589.82	          
5	0	10	0	10	9	9.742E+002	84714.26	          
5	0	10	0	11	9	2.416E+003	83046.64	          
5	0	10	0	12	9	4.177E+001	81605.08	          
5	0	10	0	13	9	7.389E+001	80414.47	          
5	0	10	0	14	9	2.496E+002	79510.29	          
5	0	10	0	15	9	2.373E+001	78949.45	          
5	1	1	0	0	0	3.855E+007	115006.28	-1.75
5	1	1	0	0	2	1.647E+007	114739.16	-1.71
5	1	1	0	1	0	4.668E+007	111374.12	          
5	1	1	0	1	2	2.275E+007	111118.58	          
5	1	1	0	2	0	3.857E+006	107919.41	          
5	1	1	0	2	2	3.032E+006	107675.22	          
5	1	1	0	3	0	1.902E+007	104638.55	          
5	1	1	0	3	2	7.968E+006	104405.60	          
5	1	1	0	4	0	5.636E+007	101529.40	          
5	1	1	0	4	2	3.146E+007	101307.36	          
5	1	1	0	5	0	4.393E+007	98590.10	          
5	1	1	0	5	2	2.832E+007	98379.13	          
5	1	1	0	6	0	1.615E+007	95821.02	          
5	1	1	0	6	2	1.007E+007	95621.01	          
5	1	1	0	7	0	3.456E+006	93222.83	          
5	1	1	0	7	2	1.093E+006	93034.05	          
5	1	1	0	8	0	5.247E+005	90798.50	          
5	1	1	0	8	2	6.347E+003	90621.16	          
5	1	1	0	9	0	7.523E+004	88552.52	          
5	1	1	0	9	2	7.748E+004	88387.00	          
5	1	1	0	10	0	9.860E+003	86491.59	          
5	1	1	0	10	2	1.320E+004	86338.49	          
5	1	1	0	11	0	6.494E-001	84625.12	          
5	1	1	0	11	2	4.468E+001	84485.19	          
5	1	1	0	12	0	4.456E+002	82965.84	          
5	1	1	0	12	2	1.683E+002	82840.22	          
5	1	1	0	13	0	5.765E+001	81530.70	          
5	1	1	0	13	2	1.724E+002	81420.82	          
5	1	1	0	14	0	3.917E+002	80342.36	          
5	1	1	0	14	2	2.993E+002	80250.36	          
5	1	1	0	15	0	1.291E+003	79430.76	          
5	1	1	0	15	2	5.405E+002	79359.62	          
5	1	1	0	16	0	1.611E+002	78835.40	          
5	1	1	0	16	2	9.054E+001	78790.17	          
5	1	1	0	17	0	5.202E+000	78604.89	          
5	1	2	0	0	1	3.684E+007	115001.65	3.2
5	1	2	0	0	3	1.782E+007	114558.56	3.2
5	1	2	0	1	1	4.265E+007	111373.34	          
5	1	2	0	1	3	2.625E+007	110949.46	          
5	1	2	0	2	1	2.762E+006	107922.61	          
5	1	2	0	2	3	4.131E+006	107517.41	          
5	1	2	0	3	1	1.844E+007	104645.45	          
5	1	2	0	3	3	8.560E+006	104258.85	          
5	1	2	0	4	1	4.837E+007	101539.90	          
5	1	2	0	4	3	3.824E+007	101171.65	          
5	1	2	0	5	1	3.490E+007	98604.40	          
5	1	2	0	5	3	3.653E+007	98254.39	          
5	1	2	0	6	1	1.268E+007	95838.87	          
5	1	2	0	6	3	1.290E+007	95507.29	          
5	1	2	0	7	1	3.368E+006	93244.44	          
5	1	2	0	7	3	1.034E+006	92931.47	          
5	1	2	0	8	1	9.581E+005	90823.91	          
5	1	2	0	8	3	1.120E+005	90530.03	          
5	1	2	0	9	1	2.702E+005	88581.86	          
5	1	2	0	9	3	2.485E+005	88307.66	          
5	1	2	0	10	1	3.871E+004	86525.12	          
5	1	2	0	10	3	4.178E+004	86271.49	          
5	1	2	0	11	1	1.190E+002	84662.95	          
5	1	2	0	11	3	5.047E+000	84431.40	          
5	1	2	0	12	1	8.679E+002	83008.46	          
5	1	2	0	12	3	9.655E+002	82800.70	          
5	1	2	0	13	1	2.680E+001	81578.28	          
5	1	2	0	13	3	1.349E+002	81397.20	          
5	1	2	0	14	1	2.796E+001	80396.27	          
5	1	2	0	14	3	6.152E+001	80244.84	          
5	1	2	0	15	1	1.591E+002	79491.51	          
5	1	2	0	15	3	7.368E+001	79375.14	          
5	1	2	0	16	1	1.794E+001	78904.73	          
5	1	2	0	16	3	1.384E+001	78832.12	          
5	1	2	0	17	1	2.498E-001	78684.78	          
5	1	3	0	0	2	3.841E+007	114948.63	8.64
5	1	3	0	0	4	1.585E+007	114332.45	8.74
5	1	3	0	1	2	4.182E+007	111328.05	          
5	1	3	0	1	4	2.555E+007	110738.71	          
5	1	3	0	2	2	1.896E+006	107884.69	          
5	1	3	0	2	4	5.067E+006	107321.54	          
5	1	3	0	3	2	1.964E+007	104615.07	          
5	1	3	0	3	4	7.472E+006	104077.72	          
5	1	3	0	4	2	4.378E+007	101516.83	          
5	1	3	0	4	4	4.041E+007	101005.05	          
5	1	3	0	5	2	2.763E+007	98588.60	          
5	1	3	0	5	4	4.190E+007	98102.37	          
5	1	3	0	6	2	9.508E+006	95830.48	          
5	1	3	0	6	4	1.490E+007	95369.89	          
5	1	3	0	7	2	3.313E+006	93243.52	          
5	1	3	0	7	4	8.186E+005	92808.90	          
5	1	3	0	8	2	1.658E+006	90830.63	          
5	1	3	0	8	4	4.446E+005	90422.57	          
5	1	3	0	9	2	6.892E+005	88596.47	          
5	1	3	0	9	4	5.967E+005	88215.97	          
5	1	3	0	10	2	1.126E+005	86547.96	          
5	1	3	0	10	4	9.302E+004	86196.33	          
5	1	3	0	11	2	4.999E+002	84694.66	          
5	1	3	0	11	4	2.522E+001	84373.83	          
5	1	3	0	12	2	2.298E+003	83049.69	          
5	1	3	0	12	4	2.689E+003	82762.19	          
5	1	3	0	13	2	1.924E+002	81630.29	          
5	1	3	0	13	4	2.501E+002	81379.83	          
5	1	3	0	14	2	3.721E+000	80459.83	          
5	1	3	0	14	4	5.250E+001	80251.71	          
5	1	3	0	15	2	8.285E+001	79569.09	          
5	1	3	0	15	4	2.900E+001	79410.68	          
5	1	3	0	16	2	8.631E+000	78999.64	          
5	1	3	0	16	4	5.942E+000	78903.97	          
5	1	4	0	0	3	4.245E+007	114845.23	24.07
5	1	4	0	0	5	1.120E+007	114060.10	24.22
