2 4 29 // magic number - today's date
# HD X rovibrational transition probabilities (25 June 2002, PCS)
# P. C. Stancil (2002, unpublished)
#
# NB - these are preliminary and may not be consistent with energy_X.dat!!!
#
# See P. C. Stancil & A. Dalgarno, ApJ 490, 76 (1997) for
#     details on the potential. Quadrupole moment from
#     L. Wolniewicz, I. Simbotin, & A. Dalgarno, ApJS 115, 293 (1998)
# for  X-X transition
#
#n1	v1	J1	n0	v0	J0	A
0	0	1	0	0	0	5.1248E-08
0	0	2	0	0	0	6.6645E-12
0	0	2	0	0	1	4.8587E-07
0	0	3	0	0	1	1.0844E-10
0	0	3	0	0	2	1.7209E-06
0	0	4	0	0	2	6.3270E-10
0	0	4	0	0	3	4.1103E-06
0	0	5	0	0	3	2.2842E-09
0	0	5	0	0	4	7.9155E-06
0	0	6	0	0	4	6.2214E-09
0	0	6	0	0	5	1.3289E-05
0	0	7	0	0	5	1.4058E-08
0	0	7	0	0	6	2.0271E-05
0	0	8	0	0	6	2.7794E-08
0	0	8	0	0	7	2.8790E-05
0	0	9	0	0	7	4.9680E-08
0	0	9	0	0	8	3.8683E-05
0	0	10	0	0	8	8.2044E-08
0	0	10	0	0	9	4.9709E-05
0	0	11	0	0	9	1.2710E-07
0	0	11	0	0	10	6.1577E-05
0	0	12	0	0	10	1.8677E-07
0	0	12	0	0	11	7.3964E-05
0	0	13	0	0	11	2.6248E-07
0	0	13	0	0	12	8.6541E-05
0	0	14	0	0	12	3.5509E-07
0	0	14	0	0	13	9.8990E-05
0	0	15	0	0	13	4.6476E-07
0	0	15	0	0	14	1.1102E-04
0	0	16	0	0	14	5.9096E-07
0	0	16	0	0	15	1.2237E-04
0	0	17	0	0	15	7.3244E-07
0	0	17	0	0	16	1.3282E-04
0	0	18	0	0	16	8.8730E-07
0	0	18	0	0	17	1.4221E-04
0	0	19	0	0	17	1.0531E-06
0	0	19	0	0	18	1.5041E-04
0	0	20	0	0	18	1.2269E-06
0	0	20	0	0	19	1.5732E-04
0	0	21	0	0	19	1.4053E-06
0	0	21	0	0	20	1.6290E-04
0	0	22	0	0	20	1.5849E-06
0	0	22	0	0	21	1.6713E-04
0	0	23	0	0	21	1.7620E-06
0	0	23	0	0	22	1.7001E-04
0	0	24	0	0	22	1.9329E-06
0	0	24	0	0	23	1.7157E-04
0	0	25	0	0	23	2.0941E-06
0	0	25	0	0	24	1.7185E-04
0	0	26	0	0	24	2.2421E-06
0	0	26	0	0	25	1.7093E-04
0	0	27	0	0	25	2.3737E-06
0	0	27	0	0	26	1.6886E-04
0	0	28	0	0	26	2.4862E-06
0	0	28	0	0	27	1.6572E-04
0	0	28	0	1	26	4.9007E-16
0	0	29	0	0	27	2.5769E-06
0	0	29	0	0	28	1.6161E-04
0	0	29	0	1	27	4.1406E-14
0	0	30	0	0	28	2.6437E-06
0	0	30	0	0	29	1.5660E-04
0	0	30	0	1	28	3.9559E-13
0	0	31	0	0	29	2.6848E-06
0	0	31	0	0	30	1.5077E-04
0	0	31	0	1	29	1.7927E-12
0	0	32	0	0	30	2.6990E-06
0	0	32	0	0	31	1.4423E-04
0	0	32	0	1	30	5.5561E-12
0	0	33	0	0	31	2.6852E-06
0	0	33	0	0	32	1.3703E-04
0	0	33	0	1	31	1.3689E-11
0	1	0	0	0	1	3.2170E-05
0	1	0	0	0	2	3.8399E-07
0	1	1	0	0	0	1.7126E-05
0	1	1	0	0	1	1.8751E-07
0	1	1	0	0	2	1.6310E-05
0	1	1	0	0	3	1.9578E-07
0	1	1	0	1	0	4.3864E-08
0	1	2	0	0	0	1.0923E-07
0	1	2	0	0	1	2.5080E-05
0	1	2	0	0	2	1.3288E-07
0	1	2	0	0	3	1.0825E-05
0	1	2	0	0	4	1.3947E-07
0	1	2	0	1	0	6.4159E-12
0	1	2	0	1	1	4.1575E-07
0	1	3	0	0	1	1.5073E-07
0	1	3	0	0	2	3.2114E-05
0	1	3	0	0	3	1.2256E-07
0	1	3	0	0	4	7.3367E-06
0	1	3	0	0	5	1.0498E-07
0	1	3	0	1	1	1.0422E-10
0	1	3	0	1	2	1.4718E-06
0	1	4	0	0	2	1.7544E-07
0	1	4	0	0	3	3.9033E-05
0	1	4	0	0	4	1.1750E-07
0	1	4	0	0	5	4.8647E-06
0	1	4	0	0	6	7.9690E-08
0	1	4	0	1	2	6.0660E-10
0	1	4	0	1	3	3.5131E-06
0	1	5	0	0	3	1.9008E-07
0	1	5	0	0	4	4.5944E-05
0	1	5	0	0	5	1.1371E-07
0	1	5	0	0	6	3.0893E-06
0	1	5	0	0	7	6.0079E-08
0	1	5	0	1	3	2.1830E-09
0	1	5	0	1	4	6.7600E-06
0	1	6	0	0	4	1.9644E-07
