# Abundances of the isotopes in the Solar System.  Taken from Table 6 of Lodders, K. 2003, ApJ, 591, 1220
#
# Fields are as follows:
# Atomic number, Chemical symbol, mass number, % of element in that isotope, isotope abundance on scale with Si = 10^6
#
 1 H   	 1       99.99806 	2.431 \times 10^{10}    
 1       2       0.00194        4.716 \times 10^{5}     
 2 He    3       0.016597       3.889 \times 10^{5}     
 2       4       99.983403      2.343 \times 10^{9}     
 3 Li    6       7.589          4.21                    
 3       7       92.411         51.26                   
 4 Be    9       100            0.7374                  
 5 B     10      19.82          3.433                   
 5       11      80.18          13.887                  
# changed from Lodders values (98.8922 and 1.1078) to maintain Cloudy's historical default 12/13 ratio
 6 C     12      96.666666666667
 6       13      3.333333333333
 7 N     14      99.6337        1.943 \times 10^{6}     
 7       15      0.3663         7143                    
 8 O     16      99.7628        1.410 \times 10^{7}     
 8       17      0.0372         5260                    
#8       18      0.20004        28270  	trailing 4 dropped to keep total exactly 100%.
 8       18      0.2000         28270                   
 9 F     19      100            841.1                   
 10 Ne   20      92.9431        1.996 \times 10^{6}     
 10      21      0.2228         4786                    
 10      22      6.8341         1.468 \times 10^{5}     
 11 Na   23      100            57510                   
 12 Mg   24      78.992         8.057 \times 10^{5}     
 12      25      10.003         1.020 \times 10^{5}     
 12      26      11.005         1.123 \times 10^{5}     
 13 Al   27      100            84100                   
 14 Si   28      92.22968       9.2230 \times 10^{5}    
 14      29      4.68316        46830                   
 14      30      3.08716        30870                   
 15 P    31      100            8373                    
 16 S    32      95.018         4.227 \times 10^{5}     
 16      33      0.75           3340                    
 16      34      4.215          18750                   
 16      36      0.017          76                      
 17 Cl   35      75.771         3968                    
 17      37      24.229         1269                    
 18 Ar   36      84.5946        86710                   
 18      38      15.3808        15765                   
 18      40      0.0246         25                      
 19 K    39      93.25811       3443                    
 19      40      0.011672       0.431                   
 19      41      6.73022        248.5                   
 20 Ca   40      96.941         60947                   
 20      42      0.647          407                     
 20      43      0.135          84.9                    
 20      44      2.086          1311                    
 20      46      0.004          2.5                     
 20      48      0.187          118                     
 21 Sc   45      100     	34.20  
 22 Ti   46      8.249 		200    
 22      47      7.437   	180    
 22      48      73.72  	1785   
 22      49      5.409   	131    
 22      50      5.185   	126    
 23 V    50      0.2497  	0.720  
 23      51      99.7503 	287.68 
 24 Cr   50      4.3452  	559    
 24      52      83.7895 	10775  
 24      53      9.5006  	1222   
 24      54      2.3647  	304    
 25 Mn   55      100     	9168   
 26 Fe   54      5.845   	48980  
 26      56      91.754 	768,900
 26      57      2.119   	17760  
 26      58      0.282   	2360   
 27 Co   59      100     	2323   
 28 Ni   58      68.0769 	32541  
 28      60      26.2231 	12532  
 28      61      1.1399  	545    
 28      62      3.6345  	1737   
 28      64      0.9256  	442    
 29 Cu   63      69.174  	364.5  
 29      65      30.826  	162.5  
 30 Zn   64      48.63  	596    
 30      66      27.9    	342    
 30      67      4.10    	50.3   
 30      68      18.75   	230    
 30      70      0.62    	7.6    
