12 1 13
# 12 1 13 remove select P - Zn ions done with Chianti by default
# 11 9 9 remove Fe ions done with chianti
# 10 3 3, Updated As for S2, S 3, & Ne 3, 
# 9 11 18, add [Fe XVII] M2 line at 17.1 A
# 9 9 11, add NI lines that pump [NI] 3466, 5199, and 10400 
# 8 12 20, update energies, wavelengths, for Fe 22
# 05 12 19, update A for Fe10, rm Fe11 and Fe13 ground term lines
#
# first line is magic number that also occurs in atmdat_readin.c = search for "magic number" - 
# it is used to confirm that this is the correct file for the current version of the code
# search on magic number
# this has been today's date
#
# these are the level 1 lines, those with accurate collision data.
#
# steps to add an emission line
# update magic number on line 1 to today's date, year, month day
# update corresponding check in atmdat_readin.cpp - search for string "level 1 magic number"
# enter data into this file
# add var for line index to taulines.h (extern) and atmdat_readin.cpp (actual definition)
# atmdat_lines_setup.cpp (both the same)
# claim the line with a pointer in makelevlines, by calling ipFindLevLine with wavelength and species
#
#
# the numbers are free format (read in by FFmtRead) and exponentional notation can be used.
# negative numbers are interpreted as logs
#
# data in this file is read in by routine atmdat_readin, put into
# TauLines[n].xxx
#
# Any line with a "#" in col 1 is a comment and totally ignored,
# These comment lines can occur anywhere within this file.
# Any line that does not have a "#" in col 1 must contain three numbers.  
#
# The file ends with end of file, and must contain comments or valid data
# up to that point
#
# the order of the lines in this file does not matter
#
# numbers on each line:
# the first four characters on any lines that is not a comment must be the 2 char element
# name followed by the ion stage, C  1 being the carbon atom.
#
# 2nd number is wavelength of line in A as it will appear in printout.  Used for nothing else.
# if it is zero then wl is obtained from line's energy after correction for index refraction of air
#
# 3rd number is energy of line in wavenumbers (used to get line energy)
#
# 4 and 5 are statistical weights of lower and upper levels
#
# next pair are gf and A - one must be zero and other is used
# A and gf are log if negative, linear otherwise
#
#ion wavelngth  energy(wn) gl gu         gf          A redis  CollStren(optional)
C  1      1656    60343.00  9  9      1.332          0  1
C  1      9830    10159.00  9  5 -10.627088          0  1
C  1      8727    11454.70  5  1 -8.2182625          0  1
#>>chng 03 oct 08, wl from 6094000 to 609200 to keep wl same after removing index ref
C  1   6092000       16.41  1  3   -8.87615          0 -1
C  1   3697000       27.05  3  5   -8.56067          0 -1
#C  2      2326    42990.00  6 12   -6.25493          0  1
#>>refer	c2	cs	Blum, R.D., & Pradhan, A.K., 1992, ApJS 80, 425
#>>refer	c2	as	Lennon, D.J., Dufton, P.L., Hibbert, A., Kingston, A.E. 1985, ApJ, 294, 200
C  2      2325    43003.3   2  2          0       74.4  1 0.2425
C  2      2324    43025.3   2  4          0       1.70  1 0.3618
C  2      2329    42939.9   4  2          0       77.8  1 0.1771
C  2      2328    42961.9   4  4          0       12.4  1 0.4774
C  2      2327    42990.2   4  6          0       53.9  1 1.0238
C  2      1335    74889.00  6 10       0.75          0  1 
#>>chng 03 oct 08, wl from 1570000 to 1576000 to keep wl same after removing index ref
C  2   1576000       63.42  2  4   -8.47756          0 -1
C  3      1910    52338.00  1  3          0      103.8  1
C  3       977   102351.00  1  3      0.767          0  1
C  3       386   258931.00  1  3      0.232          0  1
C  3       310   322402.81  1  3     0.0284          0  1
C  3       291   343258.00  1  3      0.045          0  1
C  3       280   357092.00  1  3      0.016          0  1
C  3       274   364896.91  1  3      0.011          0  1
C  3       270   369931.91  1  3     0.0077          0  1
C  3      1176    85055.71  9  9          0 1330000000  1
C  4      1551    64484.00  2  2     0.1904          0  1
C  4      1548    64591.00  2  4       0.38          0  1
C  4       312   320071.00  2  6     0.4056          0  1
N  1      1200    83335.60  4 12        1.3          0  1
# indirect pumping route for [NI]
# ground to N  I  2s2.2p2.(3P).3d  4P   5/2   104825.110
N  1     953.9  104825.110  4  6          0    1.616e8  1
# direct pumping routes for [NI] 
# ground to N  I  2s2.2p2.(3P).3d  2F   5/2   104810.360
N  1     954.1  104810.360  4  6          0    1.954e7  1
# ground to N  I  2s2.2p2.(3P).3d  2D   5/2   105143.710
N  1     951.0  105143.710  4  6          0    8.286e5  1
# ground to N  I  2s2.2p2.(3P).3d  2P   3/2   104615.470
N  1     955.8  104615.470  4  4          0    4.293e5  1
# ground to N  I  2s2.2p2.(3P).4s  2P   3/2   104221.630
N  1     959.4  104221.630  4  4          0    3.752e5  1
# ground to N  I  2s2.2p2.(3P).3d  2P   1/2   104654.030
N  1     955.5  104654.030  4  2          0    2.633e5  1
# ground to N  I  2s2.2p2.(3P).3d  2D   3/2   105119.880
N  1     951.2  105119.880  4  4          0    1.710e5  1
# ground to N  I  2s2.2p2.(3P).4s  2P   1/2   104144.820
N  1     960.2  104144.820  4  2          0    1.686e5  1
# ground to N  I  2s2.2p2.(3P).3s  2P   3/2    86220.510
N  1    1159.8   86220.510  4  4          0    4.936e4  1
# ground to N  I  2s2.2p2.(3P).3s  2P   1/2    86137.350
N  1    1160.9   86137.350  4  2          0    2.722e4  1
#>>refer	n2	as	Froese Fischer, C., & Tachiev, G. 2004, At. Data Nucl. Data Tables, 87, 1
N  2      2141    46700.00  9  5          0	178.2  1
N  2      1085    92155.70  9 15          0	1.12e9  1
N  2       671   148923.70  9  9          0	3.406e9  1
#>>chng 03 oct 08 chng wl from 1218000 to 1217000, no longer corr for index ref when nonzero
N  2   1217000       82.13  3  5          0   7.42e-6 -1
