Te	Hydrogen	Helium	Lithium	Beryllium	Boron	Carbon	Nitrogen	Oxygen	Fluorine	Neon	Sodium	Magnesium	Aluminium	Silicon	Phosphorus	Sulphur	Chlorine	Argon	Potassium	Calcium	Scandium	Titanium	Vanadium	Chromium	Manganese	Iron	Cobalt	Nickel	Copper	Zinc
1.00e+04	4.32e-24	6.85e-29	6.80e-22	4.93e-21	3.16e-22	6.41e-21	3.11e-21	1.15e-21	7.39e-26	7.63e-28	9.48e-23	1.85e-20	1.08e-20	1.36e-20	5.56e-21	2.03e-20	4.34e-21	8.91e-24	2.96e-23	3.31e-19	3.77e-19	1.42e-19	1.35e-20	5.28e-21	5.37e-20	8.84e-20	2.74e-21	5.26e-21	1.07e-21	5.83e-21
1.58e+04	1.71e-22	1.26e-25	1.01e-22	2.14e-19	1.58e-20	7.56e-21	1.37e-20	9.04e-21	1.32e-22	1.01e-23	1.64e-23	1.29e-19	7.46e-20	3.38e-20	2.44e-20	1.13e-19	5.81e-20	5.34e-21	8.09e-24	2.25e-19	5.24e-19	4.95e-19	8.53e-20	5.44e-20	3.50e-19	2.16e-19	3.49e-20	8.16e-21	2.37e-21	1.25e-19
2.51e+04	7.93e-23	2.48e-23	2.67e-23	2.09e-19	1.61e-19	2.93e-20	3.37e-20	2.66e-20	7.33e-22	6.10e-22	4.98e-24	1.80e-20	2.81e-19	1.47e-19	7.30e-20	1.61e-19	8.99e-20	1.31e-20	5.99e-23	1.14e-20	9.27e-20	1.59e-19	1.20e-19	1.17e-19	1.85e-19	9.70e-20	1.97e-20	2.77e-20	1.26e-20	2.53e-19
3.98e+04	2.82e-23	5.02e-23	1.04e-23	1.20e-20	6.66e-19	1.30e-19	8.05e-20	4.98e-20	5.03e-21	1.34e-21	3.62e-23	1.34e-21	6.30e-19	4.74e-19	2.13e-19	2.42e-19	1.68e-19	6.44e-20	1.52e-20	2.97e-21	8.02e-21	6.83e-20	1.39e-19	1.06e-19	1.31e-20	1.12e-19	2.76e-20	4.72e-21	2.58e-21	3.47e-20
6.31e+04	1.28e-23	3.58e-22	2.14e-23	1.30e-21	4.77e-19	4.01e-19	1.98e-19	1.25e-19	4.96e-20	2.00e-20	1.98e-21	2.43e-22	3.72e-20	9.23e-19	6.48e-19	7.50e-19	1.13e-19	2.45e-19	1.33e-19	4.78e-20	1.23e-20	1.73e-20	6.69e-20	1.04e-19	1.05e-21	1.46e-19	1.42e-20	6.48e-22	5.39e-22	5.48e-21
1.00e+05	6.98e-24	6.21e-22	5.59e-22	2.62e-22	3.14e-20	6.49e-19	4.37e-19	2.94e-19	1.73e-19	9.51e-20	1.81e-20	2.22e-21	4.10e-21	8.18e-19	1.46e-18	1.55e-18	1.38e-19	8.28e-19	6.73e-19	2.57e-19	1.58e-19	6.73e-20	3.67e-20	7.22e-20	1.53e-21	1.55e-19	2.07e-21	1.03e-21	9.20e-22	3.57e-21
1.58e+05	4.48e-24	2.26e-22	1.13e-21	2.03e-22	3.84e-21	7.81e-20	6.72e-19	5.15e-19	3.66e-19	2.73e-19	9.69e-20	3.26e-20	4.63e-21	2.02e-20	2.44e-19	1.61e-18	7.12e-19	1.75e-18	1.16e-18	9.54e-19	5.39e-19	4.38e-19	2.69e-19	1.49e-19	1.38e-20	1.83e-19	2.55e-21	2.28e-21	2.23e-21	2.38e-21
2.51e+05	3.31e-24	9.86e-23	1.68e-21	1.71e-21	9.10e-22	7.95e-21	9.78e-20	6.87e-19	6.32e-19	4.86e-19	2.85e-19	1.61e-19	5.27e-20	1.60e-20	2.46e-20	7.22e-20	1.39e-18	2.53e-18	1.04e-18	1.90e-18	3.31e-19	8.65e-19	9.33e-19	6.89e-19	3.50e-19	4.07e-19	1.95e-20	6.84e-21	6.35e-21	5.57e-21
3.98e+05	2.72e-24	5.31e-23	6.76e-22	3.54e-21	1.87e-21	1.73e-21	1.01e-20	9.69e-20	6.78e-19	7.34e-19	4.85e-19	4.14e-19	1.94e-19	9.84e-20	3.35e-20	1.09e-20	1.38e-19	8.43e-19	1.22e-18	2.53e-18	2.50e-19	3.73e-19	1.07e-18	1.42e-18	1.27e-18	1.00e-18	3.45e-19	1.74e-20	1.52e-20	1.38e-20
6.31e+05	2.55e-24	3.32e-23	3.09e-22	2.16e-21	5.26e-21	2.60e-21	2.57e-21	1.10e-20	7.55e-20	3.88e-19	6.33e-19	6.75e-19	3.75e-19	2.99e-19	1.26e-19	6.88e-20	6.20e-20	1.11e-19	3.30e-19	1.29e-18	1.06e-18	4.09e-19	9.72e-19	1.30e-18	1.76e-18	1.69e-18	1.35e-18	1.09e-19	3.49e-20	3.39e-20
