hden	logU	logU/T def	log T def	logU/T bad kl	log T bad kl	logU/T bad nok	log T bad nok	logU/T0507	log T0507	diff 0507-now
1.00E+00	6.52	-5.990E-01	7.122E+00	-5.990E-01	7.122E+00	-5.990E-01	7.122E+00	-5.99E-01	7.12E+00	0.00
1.25E+00	6.27	-8.490E-01	7.122E+00	-8.490E-01	7.122E+00	-8.490E-01	7.122E+00	-8.49E-01	7.12E+00	0.00
1.50E+00	6.02	-1.099E+00	7.122E+00	-1.099E+00	7.122E+00	-1.099E+00	7.122E+00	-1.10E+00	7.12E+00	0.00
1.75E+00	5.77	-1.349E+00	7.122E+00	-1.349E+00	7.122E+00	-1.349E+00	7.122E+00	-1.35E+00	7.12E+00	0.00
2.00E+00	5.52	-1.599E+00	7.121E+00	-1.599E+00	7.121E+00	-1.599E+00	7.121E+00	-1.60E+00	7.12E+00	0.00
2.25E+00	5.27	-1.848E+00	7.121E+00	-1.848E+00	7.121E+00	-1.848E+00	7.121E+00	-1.85E+00	7.12E+00	0.00
2.50E+00	5.02	-2.097E+00	7.120E+00	-2.097E+00	7.120E+00	-2.097E+00	7.120E+00	-2.10E+00	7.12E+00	0.00
2.75E+00	4.77	-2.346E+00	7.119E+00	-2.346E+00	7.119E+00	-2.346E+00	7.119E+00	-2.35E+00	7.12E+00	0.00
3.00E+00	4.52	-2.593E+00	7.116E+00	-2.593E+00	7.116E+00	-2.593E+00	7.116E+00	-2.59E+00	7.12E+00	0.00
3.25E+00	4.27	-2.839E+00	7.112E+00	-2.839E+00	7.112E+00	-2.839E+00	7.112E+00	-2.84E+00	7.11E+00	0.00
3.50E+00	4.02	-3.081E+00	7.104E+00	-3.081E+00	7.104E+00	-3.081E+00	7.104E+00	-3.08E+00	7.10E+00	0.00
3.75E+00	3.77	-3.316E+00	7.089E+00	-3.316E+00	7.089E+00	-3.316E+00	7.089E+00	-3.32E+00	7.09E+00	0.00
4.00E+00	3.52	-3.541E+00	7.064E+00	-3.541E+00	7.064E+00	-3.541E+00	7.064E+00	-3.54E+00	7.06E+00	0.00
4.25E+00	3.27	-3.747E+00	7.020E+00	-3.747E+00	7.019E+00	-3.747E+00	7.019E+00	-3.75E+00	7.02E+00	0.00
4.50E+00	3.02	-3.918E+00	6.941E+00	-3.918E+00	6.941E+00	-3.918E+00	6.941E+00	-3.95E+00	6.97E+00	0.03
4.75E+00	2.77	-4.033E+00	6.806E+00	-4.031E+00	6.804E+00	-4.031E+00	6.804E+00	-4.17E+00	6.95E+00	0.14
5.00E+00	2.52	-4.066E+00	6.589E+00	-4.055E+00	6.578E+00	-4.055E+00	6.578E+00	-4.26E+00	6.78E+00	0.19
5.25E+00	2.27	-3.979E+00	6.252E+00	-3.940E+00	6.213E+00	-3.940E+00	6.213E+00	-4.30E+00	6.57E+00	0.32
5.50E+00	2.02	-4.034E+00	6.057E+00	-3.962E+00	5.985E+00	-3.962E+00	5.985E+00	-4.30E+00	6.32E+00	0.26
5.75E+00	1.77	-3.991E+00	5.764E+00	-3.953E+00	5.726E+00	-3.953E+00	5.726E+00	-3.99E+00	5.76E+00	0.00
6.00E+00	1.52	-3.800E+00	5.323E+00	-3.816E+00	5.339E+00	-3.817E+00	5.340E+00	-3.79E+00	5.31E+00	-0.01
6.25E+00	1.27	-3.855E+00	5.127E+00	-3.854E+00	5.127E+00	-3.859E+00	5.132E+00	-3.85E+00	5.12E+00	-0.01
6.50E+00	1.02	-3.933E+00	4.956E+00	-3.930E+00	4.953E+00	-3.938E+00	4.961E+00	-3.94E+00	4.97E+00	0.01
6.75E+00	0.77	-4.012E+00	4.785E+00	-4.016E+00	4.789E+00	-4.009E+00	4.782E+00	-4.03E+00	4.80E+00	0.02
7.00E+00	0.52	-4.143E+00	4.666E+00	-4.142E+00	4.665E+00	-4.107E+00	4.629E+00	-4.14E+00	4.67E+00	0.00
7.25E+00	0.27	-4.303E+00	4.576E+00	-4.296E+00	4.569E+00	-4.270E+00	4.543E+00	-4.30E+00	4.57E+00	-0.01
