hden	logU	logU/T	log T	Pgas
1.000e+00	6.523e+00	-5.990e-01	7.122e+00	4.224e-08
1.250e+00	6.273e+00	-8.490e-01	7.122e+00	7.510e-08
1.500e+00	6.023e+00	-1.099e+00	7.122e+00	1.335e-07
1.750e+00	5.773e+00	-1.349e+00	7.122e+00	2.374e-07
2.000e+00	5.523e+00	-1.599e+00	7.121e+00	4.218e-07
2.250e+00	5.273e+00	-1.848e+00	7.121e+00	7.494e-07
2.500e+00	5.023e+00	-2.097e+00	7.120e+00	1.330e-06
2.750e+00	4.773e+00	-2.346e+00	7.119e+00	2.358e-06
3.000e+00	4.523e+00	-2.593e+00	7.116e+00	4.168e-06
3.250e+00	4.273e+00	-2.839e+00	7.112e+00	7.335e-06
3.500e+00	4.023e+00	-3.081e+00	7.104e+00	1.280e-05
3.750e+00	3.773e+00	-3.316e+00	7.089e+00	2.203e-05
4.000e+00	3.523e+00	-3.541e+00	7.064e+00	3.696e-05
4.250e+00	3.273e+00	-3.746e+00	7.019e+00	5.930e-05
4.500e+00	3.023e+00	-3.918e+00	6.940e+00	8.793e-05
4.750e+00	2.773e+00	-4.031e+00	6.804e+00	1.143e-04
5.000e+00	2.523e+00	-4.050e+00	6.573e+00	1.192e-04
5.250e+00	2.273e+00	-3.943e+00	6.216e+00	9.316e-05
5.500e+00	2.023e+00	-3.972e+00	5.995e+00	9.978e-05
5.750e+00	1.773e+00	-3.979e+00	5.752e+00	1.013e-04
6.000e+00	1.523e+00	-3.853e+00	5.375e+00	7.568e-05
6.250e+00	1.273e+00	-3.942e+00	5.215e+00	9.290e-05
6.500e+00	1.023e+00	-4.062e+00	5.085e+00	1.227e-04
6.750e+00	7.729e-01	-4.129e+00	4.902e+00	1.429e-04
7.000e+00	5.229e-01	-4.214e+00	4.737e+00	1.738e-04
7.250e+00	2.729e-01	-4.344e+00	4.617e+00	2.346e-04
7.500e+00	2.290e-02	-4.502e+00	4.525e+00	3.375e-04
7.750e+00	-2.271e-01	-4.686e+00	4.459e+00	5.153e-04
8.000e+00	-4.771e-01	-4.892e+00	4.415e+00	8.271e-04
8.250e+00	-7.271e-01	-5.112e+00	4.385e+00	1.373e-03
8.500e+00	-9.771e-01	-5.338e+00	4.361e+00	2.313e-03
8.750e+00	-1.227e+00	-5.564e+00	4.337e+00	3.891e-03
9.000e+00	-1.477e+00	-5.787e+00	4.310e+00	6.489e-03
9.250e+00	-1.727e+00	-6.008e+00	4.280e+00	1.078e-02
9.500e+00	-1.977e+00	-6.233e+00	4.256e+00	1.808e-02
9.750e+00	-2.227e+00	-6.466e+00	4.239e+00	3.087e-02
1.000e+01	-2.477e+00	-6.705e+00	4.228e+00	5.340e-02
1.025e+01	-2.727e+00	-6.943e+00	4.216e+00	9.191e-02
1.050e+01	-2.977e+00	-7.174e+00	4.196e+00	1.550e-01
1.075e+01	-3.227e+00	-7.395e+00	4.168e+00	2.555e-01
1.100e+01	-3.477e+00	-7.610e+00	4.132e+00	4.141e-01
1.125e+01	-3.727e+00	-7.823e+00	4.096e+00	6.671e-01
1.150e+01	-3.977e+00	-8.041e+00	4.064e+00	1.078e+00
1.175e+01	-4.227e+00	-8.268e+00	4.041e+00	1.750e+00
1.200e+01	-4.477e+00	-8.500e+00	4.023e+00	2.840e+00
