density	temp	[O III] 5007	[O III] 4363	[O III] 1665	[O III] 88	[O III] 52	[O III] 1661
0.000e+00	3.50000	1.000e+00	2.001e-04	0.000e+00	2.222e+02	1.156e+02	0.000e+00
0.000e+00	3.70000	1.000e+00	2.585e-04	2.096e-05	7.573e+00	4.079e+00	6.051e-06
0.000e+00	3.90000	1.000e+00	2.834e-03	1.441e-03	8.888e-01	4.915e-01	4.158e-04
0.000e+00	4.10000	1.000e+00	1.299e-02	2.067e-02	2.267e-01	1.280e-01	5.965e-03
0.000e+00	4.30000	1.000e+00	3.362e-02	1.099e-01	9.398e-02	5.403e-02	3.172e-02
0.000e+00	4.50000	1.000e+00	6.069e-02	3.084e-01	5.322e-02	3.108e-02	8.901e-02
1.000e+00	3.50000	1.000e+00	2.007e-04	0.000e+00	2.110e+02	1.178e+02	0.000e+00
1.000e+00	3.70000	1.000e+00	2.585e-04	2.096e-05	7.253e+00	4.138e+00	6.051e-06
1.000e+00	3.90000	1.000e+00	2.834e-03	1.441e-03	8.576e-01	4.970e-01	4.159e-04
1.000e+00	4.10000	1.000e+00	1.299e-02	2.067e-02	2.201e-01	1.291e-01	5.966e-03
1.000e+00	4.30000	1.000e+00	3.362e-02	1.099e-01	9.174e-02	5.439e-02	3.172e-02
1.000e+00	4.50000	1.000e+00	6.069e-02	3.084e-01	5.218e-02	3.124e-02	8.901e-02
2.000e+00	3.50000	1.000e+00	2.019e-04	0.000e+00	1.381e+02	1.271e+02	0.000e+00
2.000e+00	3.70000	1.000e+00	2.587e-04	2.097e-05	5.035e+00	4.420e+00	6.052e-06
2.000e+00	3.90000	1.000e+00	2.835e-03	1.441e-03	6.288e-01	5.262e-01	4.159e-04
2.000e+00	4.10000	1.000e+00	1.299e-02	2.067e-02	1.695e-01	1.356e-01	5.966e-03
2.000e+00	4.30000	1.000e+00	3.363e-02	1.099e-01	7.374e-02	5.670e-02	3.173e-02
2.000e+00	4.50000	1.000e+00	6.071e-02	3.084e-01	4.350e-02	3.235e-02	8.902e-02
3.000e+00	3.50000	1.000e+00	2.037e-04	0.000e+00	2.479e+01	8.441e+01	0.000e+00
3.000e+00	3.70000	1.000e+00	2.600e-04	2.101e-05	1.015e+00	3.164e+00	6.063e-06
3.000e+00	3.90000	1.000e+00	2.846e-03	1.443e-03	1.439e-01	4.045e-01	4.166e-04
3.000e+00	4.10000	1.000e+00	1.304e-02	2.070e-02	4.426e-02	1.112e-01	5.974e-03
3.000e+00	4.30000	1.000e+00	3.373e-02	1.101e-01	2.200e-02	4.916e-02	3.176e-02
3.000e+00	4.50000	1.000e+00	6.086e-02	3.088e-01	1.477e-02	2.936e-02	8.911e-02
4.000e+00	3.50000	1.000e+00	2.092e-04	0.000e+00	1.975e+00	1.586e+01	0.000e+00
4.000e+00	3.70000	1.000e+00	2.722e-04	2.139e-05	8.041e-02	6.428e-01	6.174e-06
4.000e+00	3.90000	1.000e+00	2.961e-03	1.466e-03	1.150e-02	8.982e-02	4.230e-04
4.000e+00	4.10000	1.000e+00	1.349e-02	2.098e-02	3.622e-03	2.726e-02	6.055e-03
4.000e+00	4.30000	1.000e+00	3.473e-02	1.114e-01	1.873e-03	1.341e-02	3.215e-02
4.000e+00	4.50000	1.000e+00	6.242e-02	3.121e-01	1.328e-03	8.952e-03	9.009e-02
5.000e+00	3.50000	1.000e+00	2.542e-04	0.000e+00	2.212e-01	2.093e+00	0.000e+00
5.000e+00	3.70000	1.000e+00	3.920e-04	2.524e-05	8.603e-03	8.371e-02	7.286e-06
5.000e+00	3.90000	1.000e+00	4.102e-03	1.689e-03	1.179e-03	1.165e-02	4.875e-04
5.000e+00	4.10000	1.000e+00	1.797e-02	2.376e-02	3.578e-04	3.556e-03	6.858e-03
5.000e+00	4.30000	1.000e+00	4.474e-02	1.246e-01	1.789e-04	1.778e-03	3.597e-02
5.000e+00	4.50000	1.000e+00	7.792e-02	3.458e-01	1.228e-04	1.215e-03	9.981e-02
6.000e+00	3.50000	1.000e+00	6.620e-04	0.000e+00	6.064e-02	5.844e-01	0.000e+00
6.000e+00	3.70000	1.000e+00	1.532e-03	6.377e-05	2.147e-03	2.136e-02	1.841e-05
6.000e+00	3.90000	1.000e+00	1.505e-02	3.924e-03	2.699e-04	2.740e-03	1.133e-03
6.000e+00	4.10000	1.000e+00	6.126e-02	5.161e-02	7.632e-05	7.841e-04	1.489e-02
6.000e+00	4.30000	1.000e+00	1.418e-01	2.573e-01	3.612e-05	3.739e-04	7.426e-02
6.000e+00	4.50000	1.000e+00	2.290e-01	6.829e-01	2.361e-05	2.453e-04	1.971e-01
7.000e+00	3.50000	1.000e+00	2.738e-03	0.000e+00	4.475e-02	4.321e-01	0.000e+00
7.000e+00	3.70000	1.000e+00	9.126e-03	4.489e-04	1.510e-03	1.506e-02	1.296e-04
7.000e+00	3.90000	1.000e+00	9.185e-02	2.628e-02	1.805e-04	1.837e-03	7.586e-03
7.000e+00	4.10000	1.000e+00	3.792e-01	3.305e-01	4.879e-05	5.030e-04	9.538e-02
7.000e+00	4.30000	1.000e+00	8.845e-01	1.589e+00	2.227e-05	2.314e-04	4.588e-01
7.000e+00	4.50000	1.000e+00	1.430e+00	4.079e+00	1.406e-05	1.469e-04	1.177e+00
