density	[OII] 3726	3729	2471	7323	7332
-1	1.000000e+00	1.501871e+00	2.988776e-02	2.110288e-02	1.721634e-02
-0.5	1.000000e+00	1.501481e+00	2.989281e-02	2.110641e-02	1.721901e-02
0	1.000000e+00	1.500250e+00	2.990877e-02	2.111754e-02	1.722747e-02
0.5	1.000000e+00	1.496373e+00	2.995920e-02	2.115271e-02	1.725420e-02
1	1.000000e+00	1.484289e+00	3.011793e-02	2.126344e-02	1.733841e-02
1.5	1.000000e+00	1.447736e+00	3.061302e-02	2.160892e-02	1.760171e-02
2	1.000000e+00	1.346532e+00	3.211927e-02	2.266105e-02	1.840839e-02
2.5	1.000000e+00	1.123457e+00	3.648213e-02	2.571597e-02	2.078459e-02
3	1.000000e+00	8.091730e-01	4.866292e-02	3.427761e-02	2.759303e-02
3.5	1.000000e+00	5.625415e-01	8.408108e-02	5.924255e-02	4.776584e-02
4	1.000000e+00	4.433790e-01	1.931831e-01	1.362095e-01	1.102546e-01
4.5	1.000000e+00	3.991571e-01	5.350943e-01	3.774237e-01	3.061386e-01
5	1.000000e+00	3.844388e-01	1.598779e+00	1.127615e+00	9.143244e-01
5.5	1.000000e+00	3.798344e-01	4.800460e+00	3.383596e+00	2.733785e+00
6	1.000000e+00	3.787004e-01	1.354039e+01	9.527699e+00	7.624176e+00
6.5	1.000000e+00	3.789185e-01	3.215356e+01	2.255818e+01	1.774760e+01
7	1.000000e+00	3.795390e-01	5.688658e+01	3.979424e+01	3.077790e+01
7.5	1.000000e+00	3.799851e-01	7.513363e+01	5.247182e+01	4.018497e+01
