#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)
2.50000e-01	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
1.50000e+00	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
6.50000e+00	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
2.65000e+01	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
6.33000e+01	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
1.11140e+02	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
1.73332e+02	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
2.54182e+02	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
3.59286e+02	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
4.95922e+02	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
6.73548e+02	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
9.04463e+02	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
1.20465e+03	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
1.59490e+03	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
2.10222e+03	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
2.76173e+03	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
3.61910e+03	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
4.73368e+03	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
6.18264e+03	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
8.06628e+03	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
9.58749e+03	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
1.05462e+04	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
1.16009e+04	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
1.27610e+04	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
1.40370e+04	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
1.54407e+04	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
1.69848e+04	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
1.86833e+04	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
2.05516e+04	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
2.26068e+04	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
2.48675e+04	3.1580	-15.293	3.6609	3.7290	-35.9298	-4.6621	-0.0000	-6.5719	-2.3333	-0.0020	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	-35.9298	0.00e+00	0.00e+00
