# r_s/rearth = 4.08333
#  All in CGS except for r (in rearth); for numpy use `a = genfromtxt( <file_name>, skip_header = 2, names = True )`
#  r_rearth rho T v n_H n_H+ n_H2 n_He n_He+ n_He_e
1.889999985694885254e+00 5.894531658127769600e+16 1.536390258789062500e+03 1.113246775263031741e+05 5.794049638400000000e+10 3.325325435290341807e-21 5.830524941631488000e+15 1.166110679157964800e+16 3.332728661383013058e-21 2.772392152354330601e-21
1.983222111608512472e+00 1.904719855935260750e+15 9.317474235260182240e+02 1.100429628186766495e+05 4.659166301479757031e+13 7.216147957724753938e-18 1.651684613954441562e+14 3.768092877466772500e+14 1.546109953522896067e-17 4.947394814528050382e-21
2.081042314149458505e+00 3.760408790288806250e+13 9.778544047087127637e+02 1.301312946835045150e+05 7.460172234973015625e+12 2.414209412007976013e-10 2.895141921884579659e+09 7.439188215905684570e+12 4.528915287193638795e-13 4.303113608144240037e-17
2.183687388281509989e+00 2.245726914871180420e+11 9.750185923236504095e+02 1.334365931175274600e+05 4.450612063503080750e+10 8.075345727250407636e+07 6.789413014463898435e+04 4.415207192661962891e+10 2.750095331513075829e+08 6.225308135139045589e+03
2.291395315375241992e+00 9.874602892380481720e+09 5.668697089975725248e+03 1.965649718262847746e+05 1.907358150602567673e+09 5.319244312616507709e+07 4.687377082956935226e+01 1.703638958970210314e+09 2.498756936745704412e+08 3.371136169103763677e+03
2.404415814964965481e+00 4.374933933473599434e+09 7.895081306538239005e+03 2.758548236506698886e+05 8.299489321707806587e+08 3.868081819665794820e+07 3.208832251251414913e+00 6.806249350335322618e+08 1.848875117358300686e+08 1.547799003868242153e+03
2.523010923720466980e+00 2.602343131200122833e+09 9.217844412473106786e+03 3.498664068137889262e+05 4.862430015958985090e+08 3.044882760940328240e+07 3.154298132420666478e-01 3.704070009904656410e+08 1.444304360734687448e+08 9.878791233564703589e+02
2.647455602975875344e+00 1.744029510206162930e+09 1.007590865249890521e+04 4.187424715873185196e+05 3.214257175562418699e+08 2.485163928596501052e+07 3.088684151422321778e-02 2.289717714093641043e+08 1.160627574228731692e+08 7.105856923150853390e+02
2.778038376224212236e+00 1.252174153932577610e+09 1.062876919794700734e+04 4.822494170709614409e+05 2.278949099439192116e+08 2.072604484598670155e+07 2.499415817498173986e-02 1.526952106710077524e+08 9.503338566329351068e+07 5.446751646123429964e+02
2.915061998055641368e+00 9.386477380513286591e+08 1.099949545657203271e+04 5.395268236708889017e+05 1.688359775689970851e+08 1.753492089805365354e+07 2.812372509986097932e-02 1.068186509509975314e+08 7.888328856536336243e+07 4.322391283559841213e+02
3.058844156090346988e+00 7.230913063871016502e+08 1.126807665512165659e+04 5.929594201534281019e+05 1.285862266717972755e+08 1.498612487537259050e+07 4.274131484365858297e-02 7.694713810729362071e+07 6.610986534450174868e+07 3.498373833591655853e+02
3.209718207533462042e+00 5.697706919414061308e+08 1.145209908358611210e+04 6.424839776793868514e+05 1.002047463496583402e+08 1.292577614747335762e+07 5.412974026677295353e-02 5.681205838327991217e+07 5.591238043867407739e+07 2.882680531433476858e+02
3.368033952059743541e+00 4.564988814753777981e+08 1.158527799440703166e+04 6.900890967120393179e+05 7.941027480337432027e+07 1.123002755731954053e+07 5.710044597107227782e-02 4.268600913095820695e+07 4.762893346253798902e+07 2.398602422479700351e+02
3.534158442819910650e+00 3.703849542922056913e+08 1.167935333906186315e+04 7.371218504516084213e+05 6.373061708491642773e+07 9.811605111130625010e+06 6.033793448621398159e-02 3.248498346422168240e+07 4.079324856433621049e+07 2.015326508555037890e+02
3.708476837448963614e+00 3.036731298591970205e+08 1.173712649924965808e+04 7.823907422048973385e+05 5.168277378162932396e+07 8.613639767222382128e+06 6.542868140056617987e-02 2.497458830653407425e+07 3.510538349824973941e+07 1.699288155325137950e+02
3.891393291049535907e+00 2.514004462261855304e+08 1.175442776475422397e+04 8.268902960691675544e+05 4.232543267093759775e+07 7.592055858018457890e+06 7.506772673449595146e-02 1.940193021892283857e+07 3.033637568703043461e+07 1.448999529731087250e+02
